Array	IIC_Bacteroidota_motif_8_1	IIC_Bacteroidota_motif_8_1_pvalue
Random_seq_178	103	0.641928638263
Random_seq_205	80	0.652281655722
Random_seq_313	89	0.617535402027
Random_seq_35	38	0.624853866529
Random_seq_385	88	0.708333108359
Random_seq_388	102	0.661643638058
Random_seq_391	27	0.684323588964
Random_seq_493	152	0.804634551466
Random_seq_505	194	0.659136281156
Random_seq_514	183	0.63361274688
Random_seq_523	69	0.638250664322
Random_seq_524	174	0.638250664322
Random_seq_561	121	0.639720022069
Random_seq_576	27	0.68924694602
Random_seq_618	139	0.639720022069
Random_seq_640	131	0.620621113213
Random_seq_658	26	0.63361274688
Random_seq_750	182	0.646455888886
Random_seq_957	102	0.616484846372
