Array	IB_Bacteroidota_motif_2_1	IB_Bacteroidota_motif_2_1_pvalue
Random_seq_121	107	0.910429496795
Random_seq_171	91	0.621693241895
Random_seq_203	39	0.571291761965
Random_seq_318	142	0.560588293305
Random_seq_323	42	0.609050219416
Random_seq_330	178	0.583372112041
Random_seq_343	28	0.63045525611
Random_seq_373	53	0.708041121452
Random_seq_396	27	0.617018391799
Random_seq_405	117	0.578672565927
Random_seq_477	87	0.627518847765
Random_seq_485	142	0.587079096233
Random_seq_491	142	0.563174642623
Random_seq_558	172	0.590403303466
Random_seq_565	145	0.61193533758
Random_seq_602	121	0.567699390065
Random_seq_627	42	0.671646296559
Random_seq_649	179	0.566222710271
Random_seq_68	79	0.613128992574
Random_seq_681	133	0.873990962981
Random_seq_754	31	0.74061923282
Random_seq_819	58	0.62985647663
Random_seq_833	27	0.615276215934
