Array	IC_Cyanobacteriota_motif_2_1	IC_Cyanobacteriota_motif_2_1_pvalue
Random_seq_1000	59	0.973200226889
Random_seq_192	56	0.804217751189
Random_seq_217	98	0.832633079814
Random_seq_242	14	0.814402987936
Random_seq_279	143	0.854488996163
Random_seq_404	38	0.787076274321
Random_seq_538	190	0.985016715474
Random_seq_542	192	0.89594588083
Random_seq_569	43	0.809351555277
Random_seq_578	119	1.01409477106
Random_seq_581	115	0.82096718113
Random_seq_582	9	0.945509211427
Random_seq_61	138	0.796913437806
Random_seq_819	86	0.796913437806
Random_seq_883	30	0.920761259894
Random_seq_923	9	1.0
Random_seq_942	113	0.817730753546
Random_seq_95	15	0.796913437806
