Array	IC_Planctomycetota_motif_2_1	IC_Planctomycetota_motif_2_1_pvalue
Random_seq_22	112	0.798712920004
Random_seq_225	176	0.675169553698
Random_seq_249	73	0.852087361312
Random_seq_286	24	0.705902010926
Random_seq_374	107	0.705902010926
Random_seq_388	143	0.694348570063
Random_seq_409	138	0.681188327917
Random_seq_419	20	0.755001392102
Random_seq_422	151	0.66158034007
Random_seq_429	15	0.66158034007
Random_seq_482	60	0.684790026617
Random_seq_524	187	0.750028274777
Random_seq_66	121	0.67144620344
Random_seq_669	84	0.741391272365
Random_seq_742	27	0.678444230047
