Array	IC_Thermodesulfobacteriota_motif_1_1	IC_Thermodesulfobacteriota_motif_1_1_pvalue
Random_seq_107	104	0.490716589688
Random_seq_130	141	0.484222058661
Random_seq_136	32	0.575320775903
Random_seq_175	96	0.505943099479
Random_seq_183	183	0.485032658212
Random_seq_200	34	0.544731404671
Random_seq_217	135	0.484222058661
Random_seq_22	114	0.612586512617
Random_seq_237	35	0.494343218369
Random_seq_249	75	0.597689041419
Random_seq_25	49	0.578192752699
Random_seq_272	10	0.517133627739
Random_seq_326	97	0.52097703442
Random_seq_34	45	0.555962495558
Random_seq_351	158	0.51203485602
Random_seq_362	138	0.524245281886
Random_seq_374	109	0.503932339747
Random_seq_385	45	0.475552158799
Random_seq_409	140	0.499678259704
Random_seq_420	142	0.499678259704
Random_seq_429	17	0.504727168236
Random_seq_465	164	0.53608262526
Random_seq_494	63	0.477160691765
Random_seq_516	116	0.470958191139
Random_seq_524	189	0.638424994569
Random_seq_53	108	0.479856920842
Random_seq_558	77	0.490337473622
Random_seq_571	90	0.525583350564
Random_seq_65	137	0.540526009104
Random_seq_66	123	0.524245281886
Random_seq_670	78	0.478761288123
Random_seq_686	163	0.577355574942
Random_seq_687	138	0.500964179796
Random_seq_705	173	0.475552158799
Random_seq_776	18	0.665248611284
Random_seq_786	106	0.471373369845
Random_seq_840	50	0.538740971854
Random_seq_845	96	0.564567928109
Random_seq_853	53	0.513203481377
Random_seq_86	40	0.54836434585
Random_seq_876	162	0.475552158799
Random_seq_886	108	0.531824601691
