cutoff,positive,negative,positive_perc,negative_perc
0,1313,416,81.60348042,1.803520333
0.02,1313,416,81.60348042,1.803520333
0.04,1313,416,81.60348042,1.803520333
0.06,1305,404,81.10627719,1.751495708
0.08,1300,41,80.79552517,0.177750802
0.1,1291,34,80.23617154,0.147403104
0.12,1289,28,80.11187073,0.121390792
0.14,1286,27,79.92541952,0.117055406
0.16,1283,23,79.7389683,0.099713865
0.18,1175,22,73.02672467,0.095378479
0.2,618,20,38.40894966,0.086707708
0.22,491,20,30.51584835,0.086707708
0.24,488,18,30.32939714,0.078036937
0.26,485,18,30.14294593,0.078036937
0.28,485,18,30.14294593,0.078036937
0.3,485,16,30.14294593,0.069366167
0.32,485,13,30.14294593,0.05636001
0.34,476,13,29.58359229,0.05636001
0.36,460,13,28.58918583,0.05636001
0.38,459,13,28.52703543,0.05636001
0.4,455,11,28.27843381,0.04768924
0.42,439,11,27.28402735,0.04768924
0.44,423,11,26.28962088,0.04768924
0.46,415,11,25.79241765,0.04768924
0.48,411,11,25.54381603,0.04768924
0.5,400,11,24.86016159,0.04768924
0.52,398,10,24.73586078,0.043353854
0.54,394,10,24.48725917,0.043353854
0.56,365,10,22.68489745,0.043353854
0.58,258,9,16.03480423,0.039018469
0.6,245,9,15.22684897,0.039018469
0.62,239,9,14.85394655,0.039018469
0.64,213,8,13.23803605,0.034683083
0.66,212,8,13.17588564,0.034683083
0.68,204,4,12.67868241,0.017341542
0.7,199,4,12.36793039,0.017341542
0.72,196,4,12.18147918,0.017341542
0.74,193,4,11.99502797,0.017341542
0.76,189,1,11.74642635,0.004335385
0.78,177,1,11.0006215,0.004335385
0.8,172,1,10.68986948,0.004335385
0.82,148,1,9.198259789,0.004335385
0.84,145,1,9.011808577,0.004335385
0.86,145,1,9.011808577,0.004335385
0.88,137,1,8.514605345,0.004335385
0.9,137,1,8.514605345,0.004335385
0.92,136,1,8.452454941,0.004335385
0.94,136,1,8.452454941,0.004335385
0.96,131,1,8.141702921,0.004335385
0.98,131,1,8.141702921,0.004335385
1,129,1,8.017402113,0.004335385
