cutoff,positive,negative,positive_perc,negative_perc
0,1304,50,53.68464389,0.241056793
0.02,1304,50,53.68464389,0.241056793
0.04,1304,50,53.68464389,0.241056793
0.06,1298,36,53.43762865,0.173560891
0.08,1262,32,51.95553726,0.154276348
0.1,1241,17,51.09098394,0.08195931
0.12,1209,14,49.77356937,0.067495902
0.14,1199,14,49.36187732,0.067495902
0.16,1184,14,48.74433923,0.067495902
0.18,1144,12,47.09757102,0.05785363
0.2,1136,11,46.76821737,0.053032494
0.22,1118,11,46.02717168,0.053032494
0.24,1117,11,45.98600247,0.053032494
0.26,1111,11,45.73898724,0.053032494
0.28,1097,11,45.16261836,0.053032494
0.3,1089,10,44.83326472,0.048211359
0.32,1083,10,44.58624949,0.048211359
0.34,1075,10,44.25689584,0.048211359
0.36,1066,10,43.88637299,0.048211359
0.38,1062,10,43.72169617,0.048211359
0.4,1045,10,43.02181968,0.048211359
0.42,1033,10,42.52778921,0.048211359
0.44,1030,10,42.4042816,0.048211359
0.46,1027,10,42.28077398,0.048211359
0.48,1021,10,42.03375875,0.048211359
0.5,1006,10,41.41622067,0.048211359
0.52,1003,9,41.29271305,0.043390223
0.54,997,8,41.04569782,0.038569087
0.56,970,8,39.93412927,0.038569087
0.58,965,8,39.72828324,0.038569087
0.6,963,8,39.64594483,0.038569087
0.62,956,8,39.3577604,0.038569087
0.64,924,5,38.04034582,0.024105679
0.66,910,5,37.46397695,0.024105679
0.68,902,5,37.1346233,0.024105679
0.7,897,5,36.92877727,0.024105679
0.72,888,5,36.55825443,0.024105679
0.74,882,5,36.31123919,0.024105679
0.76,877,5,36.10539317,0.024105679
0.78,870,4,35.81720873,0.019284543
0.8,868,4,35.73487032,0.019284543
0.82,856,4,35.24083985,0.019284543
0.84,843,2,34.70564018,0.009642272
0.86,837,1,34.45862495,0.004821136
0.88,827,1,34.04693289,0.004821136
0.9,820,0,33.75874846,0
0.92,799,0,32.89419514,0
0.94,797,0,32.81185673,0
0.96,797,0,32.81185673,0
0.98,796,0,32.77068753,0
1,795,0,32.72951832,0
