cutoff,positive,negative,positive_perc,negative_perc
0,1,80,16.66666667,0.345348586
0.02,1,80,16.66666667,0.345348586
0.04,1,80,16.66666667,0.345348586
0.06,1,29,16.66666667,0.125188863
0.08,1,29,16.66666667,0.125188863
0.1,1,27,16.66666667,0.116555148
0.12,1,27,16.66666667,0.116555148
0.14,1,26,16.66666667,0.112238291
0.16,1,24,16.66666667,0.103604576
0.18,0,19,0,0.082020289
0.2,0,18,0,0.077703432
0.22,0,17,0,0.073386575
0.24,0,16,0,0.069069717
0.26,0,16,0,0.069069717
0.28,0,16,0,0.069069717
0.3,0,16,0,0.069069717
0.32,0,16,0,0.069069717
0.34,0,16,0,0.069069717
0.36,0,16,0,0.069069717
0.38,0,16,0,0.069069717
0.4,0,16,0,0.069069717
0.42,0,16,0,0.069069717
0.44,0,15,0,0.06475286
0.46,0,13,0,0.056119145
0.48,0,9,0,0.038851716
0.5,0,9,0,0.038851716
0.52,0,3,0,0.012950572
0.54,0,3,0,0.012950572
0.56,0,3,0,0.012950572
0.58,0,3,0,0.012950572
0.6,0,3,0,0.012950572
0.62,0,3,0,0.012950572
0.64,0,3,0,0.012950572
0.66,0,3,0,0.012950572
0.68,0,2,0,0.008633715
0.7,0,2,0,0.008633715
0.72,0,2,0,0.008633715
0.74,0,2,0,0.008633715
0.76,0,2,0,0.008633715
0.78,0,2,0,0.008633715
0.8,0,2,0,0.008633715
0.82,0,2,0,0.008633715
0.84,0,2,0,0.008633715
0.86,0,2,0,0.008633715
0.88,0,2,0,0.008633715
0.9,0,2,0,0.008633715
0.92,0,0,0,0
0.94,0,0,0,0
0.96,0,0,0,0
0.98,0,0,0,0
1,0,0,0,0
