cutoff,positive,negative,positive_perc,negative_perc
0,10553,27,85.42864082,0.249584027
0.02,10553,27,85.42864082,0.249584027
0.04,10553,27,85.42864082,0.249584027
0.06,10545,26,85.36387922,0.240340174
0.08,10539,25,85.31530802,0.231096321
0.1,10537,25,85.29911762,0.231096321
0.12,10535,25,85.28292722,0.231096321
0.14,10533,25,85.26673683,0.231096321
0.16,10533,25,85.26673683,0.231096321
0.18,10526,25,85.21007043,0.231096321
0.2,10526,25,85.21007043,0.231096321
0.22,10525,25,85.20197523,0.231096321
0.24,10525,25,85.20197523,0.231096321
0.26,10511,24,85.08864244,0.221852468
0.28,10500,24,84.99959524,0.221852468
0.3,10495,24,84.95911924,0.221852468
0.32,10492,24,84.93483364,0.221852468
0.34,10480,24,84.83769125,0.221852468
0.36,10454,23,84.62721606,0.212608615
0.38,10429,21,84.42483607,0.19412091
0.4,10408,21,84.25483688,0.19412091
0.42,10388,21,84.09293289,0.19412091
0.44,10354,20,83.81769611,0.184877057
0.46,10315,13,83.50198332,0.120170087
0.48,10266,10,83.10531855,0.092438528
0.5,10229,10,82.80579616,0.092438528
0.52,10188,10,82.47389298,0.092438528
0.54,10143,7,82.109609,0.06470697
0.56,10100,7,81.76151542,0.06470697
0.58,10062,7,81.45389784,0.06470697
0.6,9991,7,80.87913867,0.06470697
0.62,9954,6,80.57961629,0.055463117
0.64,9897,6,80.11818991,0.055463117
0.66,9867,6,79.87533393,0.055463117
0.68,9829,6,79.56771634,0.055463117
0.7,9801,6,79.34105076,0.055463117
0.72,9008,6,72.92155752,0.055463117
0.74,8970,6,72.61393993,0.055463117
0.76,8949,6,72.44394074,0.055463117
0.78,8934,6,72.32251275,0.055463117
0.8,8901,6,72.05537116,0.055463117
0.82,8872,6,71.82061038,0.055463117
0.84,8845,6,71.60203999,0.055463117
0.86,8818,6,71.3834696,0.055463117
0.88,8814,6,71.3510888,0.055463117
0.9,8709,6,70.50109285,0.055463117
0.92,8680,6,70.26633207,0.055463117
0.94,8630,6,69.86157209,0.055463117
0.96,8603,6,69.6430017,0.055463117
0.98,8536,6,69.10062333,0.055463117
1,8501,6,68.81729135,0.055463117
