cutoff,positive,negative,positive_perc,negative_perc
0,4318,57,94.75532148,0.306221124
0.02,4318,57,94.75532148,0.306221124
0.04,4318,57,94.75532148,0.306221124
0.06,4309,56,94.55782313,0.300848823
0.08,4306,52,94.49199034,0.279359622
0.1,4305,52,94.47004608,0.279359622
0.12,4302,48,94.4042133,0.25787042
0.14,4301,46,94.38226904,0.247125819
0.16,4295,46,94.25060347,0.247125819
0.18,4290,42,94.14088216,0.225636618
0.2,4285,41,94.03116085,0.220264317
0.22,4274,40,93.78977397,0.214892017
0.24,4272,37,93.74588545,0.198775116
0.26,4267,37,93.63616414,0.198775116
0.28,4258,36,93.43866579,0.193402815
0.3,4226,35,92.73644942,0.188030515
0.32,4216,35,92.5170068,0.188030515
0.34,4210,34,92.38534123,0.182658214
0.36,4209,8,92.36339697,0.042978403
0.38,4204,8,92.25367566,0.042978403
0.4,4203,7,92.2317314,0.037606103
0.42,4202,6,92.20978714,0.032233803
0.44,4192,5,91.99034452,0.026861502
0.46,4190,5,91.946456,0.026861502
0.48,4188,5,91.90256748,0.026861502
0.5,4187,5,91.88062322,0.026861502
0.52,4172,3,91.55145929,0.016116901
0.54,4114,3,90.27869212,0.016116901
0.56,4107,3,90.12508229,0.016116901
0.58,4097,3,89.90563968,0.016116901
0.6,4084,3,89.62036427,0.016116901
0.62,4083,2,89.59842001,0.010744601
0.64,4069,1,89.29120035,0.0053723
0.66,4057,1,89.02786921,0.0053723
0.68,4040,1,88.65481677,0.0053723
0.7,4025,1,88.32565284,0.0053723
0.72,4017,1,88.15009875,0.0053723
0.74,3916,1,85.93372833,0.0053723
0.76,3899,1,85.56067588,0.0053723
0.78,3890,1,85.36317753,0.0053723
0.8,3871,1,84.94623656,0.0053723
0.82,3848,0,84.44151854,0
0.84,3758,0,82.466535,0
0.86,3739,0,82.04959403,0
0.88,3680,0,80.7548826,0
0.9,3662,0,80.35988589,0
0.92,3653,0,80.16238754,0
0.94,3643,0,79.94294492,0
0.96,3640,0,79.87711214,0
0.98,3607,0,79.1529515,0
1,3601,0,79.02128593,0
