cutoff,positive,negative,positive_perc,negative_perc
0,1,7,16.66666667,0.030218001
0.02,1,7,16.66666667,0.030218001
0.04,1,7,16.66666667,0.030218001
0.06,1,7,16.66666667,0.030218001
0.08,1,7,16.66666667,0.030218001
0.1,1,6,16.66666667,0.025901144
0.12,1,6,16.66666667,0.025901144
0.14,1,6,16.66666667,0.025901144
0.16,1,6,16.66666667,0.025901144
0.18,1,3,16.66666667,0.012950572
0.2,1,1,16.66666667,0.004316857
0.22,1,1,16.66666667,0.004316857
0.24,1,1,16.66666667,0.004316857
0.26,1,1,16.66666667,0.004316857
0.28,1,1,16.66666667,0.004316857
0.3,1,1,16.66666667,0.004316857
0.32,1,1,16.66666667,0.004316857
0.34,1,1,16.66666667,0.004316857
0.36,1,1,16.66666667,0.004316857
0.38,1,1,16.66666667,0.004316857
0.4,1,1,16.66666667,0.004316857
0.42,1,0,16.66666667,0
0.44,0,0,0,0
0.46,0,0,0,0
0.48,0,0,0,0
0.5,0,0,0,0
0.52,0,0,0,0
0.54,0,0,0,0
0.56,0,0,0,0
0.58,0,0,0,0
0.6,0,0,0,0
0.62,0,0,0,0
0.64,0,0,0,0
0.66,0,0,0,0
0.68,0,0,0,0
0.7,0,0,0,0
0.72,0,0,0,0
0.74,0,0,0,0
0.76,0,0,0,0
0.78,0,0,0,0
0.8,0,0,0,0
0.82,0,0,0,0
0.84,0,0,0,0
0.86,0,0,0,0
0.88,0,0,0,0
0.9,0,0,0,0
0.92,0,0,0,0
0.94,0,0,0,0
0.96,0,0,0,0
0.98,0,0,0,0
1,0,0,0,0
