cutoff,positive,negative,positive_perc,negative_perc
0,588,235,86.2170088,1.044955311
0.02,588,235,86.2170088,1.044955311
0.04,588,235,86.2170088,1.044955311
0.06,588,235,86.2170088,1.044955311
0.08,588,198,86.2170088,0.880430433
0.1,586,196,85.92375367,0.871537196
0.12,586,189,85.92375367,0.840410868
0.14,586,178,85.92375367,0.791498066
0.16,586,115,85.92375367,0.51136111
0.18,584,110,85.63049853,0.489128018
0.2,584,108,85.63049853,0.480234781
0.22,584,107,85.63049853,0.475788163
0.24,584,106,85.63049853,0.471341545
0.26,581,106,85.19061584,0.471341545
0.28,581,106,85.19061584,0.471341545
0.3,581,104,85.19061584,0.462448308
0.32,522,102,76.53958944,0.453555071
0.34,522,100,76.53958944,0.444661835
0.36,522,84,76.53958944,0.373515941
0.38,521,82,76.39296188,0.364622704
0.4,521,81,76.39296188,0.360176086
0.42,521,81,76.39296188,0.360176086
0.44,521,81,76.39296188,0.360176086
0.46,521,80,76.39296188,0.355729468
0.48,518,80,75.95307918,0.355729468
0.5,518,80,75.95307918,0.355729468
0.52,509,80,74.63343109,0.355729468
0.54,508,80,74.48680352,0.355729468
0.56,490,80,71.84750733,0.355729468
0.58,479,80,70.23460411,0.355729468
0.6,477,78,69.94134897,0.346836231
0.62,465,71,68.18181818,0.315709903
0.64,391,70,57.3313783,0.311263284
0.66,378,70,55.42521994,0.311263284
0.68,376,70,55.13196481,0.311263284
0.7,375,70,54.98533724,0.311263284
0.72,367,70,53.81231672,0.311263284
0.74,236,68,34.60410557,0.302370048
0.76,232,60,34.01759531,0.266797101
0.78,219,60,32.11143695,0.266797101
0.8,212,60,31.08504399,0.266797101
0.82,211,60,30.93841642,0.266797101
0.84,208,60,30.49853372,0.266797101
0.86,201,60,29.47214076,0.266797101
0.88,198,60,29.03225806,0.266797101
0.9,192,60,28.15249267,0.266797101
0.92,188,60,27.5659824,0.266797101
0.94,185,60,27.12609971,0.266797101
0.96,182,60,26.68621701,0.266797101
0.98,182,60,26.68621701,0.266797101
1,182,60,26.68621701,0.266797101
