cutoff,positive,negative,positive_perc,negative_perc
0,194,6,16.48258284,0.027280167
0.02,194,6,16.48258284,0.027280167
0.04,194,6,16.48258284,0.027280167
0.06,176,6,14.95327103,0.027280167
0.08,176,4,14.95327103,0.018186778
0.1,176,4,14.95327103,0.018186778
0.12,176,4,14.95327103,0.018186778
0.14,176,4,14.95327103,0.018186778
0.16,176,4,14.95327103,0.018186778
0.18,175,3,14.86830926,0.013640084
0.2,174,3,14.78334749,0.013640084
0.22,173,3,14.69838573,0.013640084
0.24,173,3,14.69838573,0.013640084
0.26,173,3,14.69838573,0.013640084
0.28,173,3,14.69838573,0.013640084
0.3,172,3,14.61342396,0.013640084
0.32,148,3,12.57434155,0.013640084
0.34,148,2,12.57434155,0.009093389
0.36,82,2,6.966864911,0.009093389
0.38,82,2,6.966864911,0.009093389
0.4,82,1,6.966864911,0.004546695
0.42,77,1,6.542056075,0.004546695
0.44,58,1,4.927782498,0.004546695
0.46,58,1,4.927782498,0.004546695
0.48,58,1,4.927782498,0.004546695
0.5,58,1,4.927782498,0.004546695
0.52,58,1,4.927782498,0.004546695
0.54,58,1,4.927782498,0.004546695
0.56,58,1,4.927782498,0.004546695
0.58,58,1,4.927782498,0.004546695
0.6,58,1,4.927782498,0.004546695
0.62,57,1,4.842820731,0.004546695
0.64,56,1,4.757858963,0.004546695
0.66,54,1,4.587935429,0.004546695
0.68,54,1,4.587935429,0.004546695
0.7,52,0,4.418011895,0
0.72,52,0,4.418011895,0
0.74,51,0,4.333050127,0
0.76,51,0,4.333050127,0
0.78,46,0,3.908241291,0
0.8,45,0,3.823279524,0
0.82,45,0,3.823279524,0
0.84,44,0,3.738317757,0
0.86,44,0,3.738317757,0
0.88,39,0,3.313508921,0
0.9,39,0,3.313508921,0
0.92,32,0,2.718776551,0
0.94,26,0,2.209005947,0
0.96,26,0,2.209005947,0
0.98,26,0,2.209005947,0
1,26,0,2.209005947,0
