cutoff,positive,negative,positive_perc,negative_perc
0,128,102,96.96969697,0.442727549
0.02,128,102,96.96969697,0.442727549
0.04,128,102,96.96969697,0.442727549
0.06,128,78,96.96969697,0.338556361
0.08,128,70,96.96969697,0.303832632
0.1,128,67,96.96969697,0.290811233
0.12,128,28,96.96969697,0.121533053
0.14,128,22,96.96969697,0.095490256
0.16,128,21,96.96969697,0.091149789
0.18,128,21,96.96969697,0.091149789
0.2,128,21,96.96969697,0.091149789
0.22,128,21,96.96969697,0.091149789
0.24,128,21,96.96969697,0.091149789
0.26,128,21,96.96969697,0.091149789
0.28,128,21,96.96969697,0.091149789
0.3,128,21,96.96969697,0.091149789
0.32,128,21,96.96969697,0.091149789
0.34,128,21,96.96969697,0.091149789
0.36,128,21,96.96969697,0.091149789
0.38,128,21,96.96969697,0.091149789
0.4,128,20,96.96969697,0.086809323
0.42,128,20,96.96969697,0.086809323
0.44,128,18,96.96969697,0.078128391
0.46,128,18,96.96969697,0.078128391
0.48,128,18,96.96969697,0.078128391
0.5,128,16,96.96969697,0.069447459
0.52,128,12,96.96969697,0.052085594
0.54,128,7,96.96969697,0.030383263
0.56,128,5,96.96969697,0.021702331
0.58,126,2,95.45454545,0.008680932
0.6,126,1,95.45454545,0.004340466
0.62,126,1,95.45454545,0.004340466
0.64,126,0,95.45454545,0
0.66,126,0,95.45454545,0
0.68,126,0,95.45454545,0
0.7,125,0,94.6969697,0
0.72,125,0,94.6969697,0
0.74,125,0,94.6969697,0
0.76,125,0,94.6969697,0
0.78,125,0,94.6969697,0
0.8,124,0,93.93939394,0
0.82,124,0,93.93939394,0
0.84,124,0,93.93939394,0
0.86,123,0,93.18181818,0
0.88,123,0,93.18181818,0
0.9,122,0,92.42424242,0
0.92,121,0,91.66666667,0
0.94,121,0,91.66666667,0
0.96,121,0,91.66666667,0
0.98,121,0,91.66666667,0
1,121,0,91.66666667,0
