Array	IB_Bacillota_motif_1_1	IB_Bacillota_motif_1_1_pvalue
HQ641352.1_Array_1	26	0.442228938111
HQ641352.1_Array_2	24	0.404930582714
HQ641354.1_Array_1	26	0.497534657835
MH310933.1_Array_1	26	0.497534657835
MH310934.1_Array_1	26	0.442228938111
MH310934.1_Array_2	24	0.404930582714
MH310935.1_Array_1	26	0.497534657835
MH310935.1_Array_2	25	0.382739659104
MN419153.1_Array_1	26	0.497534657835
MN419153.1_Array_2	25	0.382739659104
MW794140.1_Array_1	26	0.497534657835
MW794150.1_Array_1	26	0.497534657835
MW794150.1_Array_2	26	0.382739659104
MW794151.1_Array_1	26	0.497534657835
MW794151.1_Array_2	22	0.382739659104
MW794152.1_Array_1	26	0.497534657835
MW794152.1_Array_2	25	0.382739659104
MW794153.1_Array_1	26	0.497534657835
MW794153.1_Array_2	26	0.382739659104
MW794154.1_Array_1	26	0.497534657835
MW794154.1_Array_2	25	0.382739659104
MW794155.1_Array_1	26	0.497534657835
MW794155.1_Array_2	25	0.382739659104
MW794156.1_Array_1	26	0.497534657835
MW794156.1_Array_2	25	0.382739659104
MW794157.1_Array_1	26	0.497534657835
MW794157.1_Array_2	25	0.382739659104
MW794158.1_Array_1	26	0.497534657835
MW794158.1_Array_2	25	0.382739659104
MW794159.1_Array_1	26	0.497534657835
MW794159.1_Array_2	25	0.382739659104
MW794160.1_Array_1	26	0.497534657835
MW794160.1_Array_2	25	0.382739659104
MW794161.1_Array_1	26	0.497534657835
MW794161.1_Array_2	25	0.382739659104
MW794162.1_Array_1	26	0.497534657835
MW794162.1_Array_2	25	0.382739659104
MW794163.1_Array_1	26	0.497534657835
MW794163.1_Array_2	25	0.382739659104
MW794164.1_Array_1	26	0.497534657835
MW794164.1_Array_2	25	0.382739659104
MW794165.1_Array_1	26	0.497534657835
MW794166.1_Array_1	26	0.497534657835
MW794166.1_Array_2	25	0.382739659104
MW794167.1_Array_1	26	0.497534657835
MW794167.1_Array_2	25	0.382739659104
MW794168.1_Array_1	26	0.497534657835
MW794169.1_Array_1	26	0.497534657835
MW794169.1_Array_2	25	0.382739659104
MW794170.1_Array_1	26	0.497534657835
MW794170.1_Array_2	25	0.382739659104
MW794171.1_Array_1	26	0.497534657835
MW794171.1_Array_2	25	0.382739659104
MW794172.1_Array_1	26	0.497534657835
MW794172.1_Array_2	25	0.382739659104
MW794173.1_Array_1	26	0.497534657835
MW794173.1_Array_2	25	0.382739659104
MW794176.1_Array_1	26	0.497534657835
MW794177.1_Array_1	26	0.497534657835
MW794177.1_Array_2	25	0.382739659104
MW794179.1_Array_1	26	0.497534657835
MW794179.1_Array_2	25	0.382739659104
MW794180.1_Array_1	26	0.497534657835
MW794180.1_Array_2	25	0.382739659104
MW794182.1_Array_1	26	0.497534657835
MW794182.1_Array_2	25	0.382739659104
MW794183.1_Array_1	26	0.497534657835
MW794183.1_Array_2	25	0.382739659104
MW794188.1_Array_1	26	0.497534657835
MW794188.1_Array_2	25	0.382739659104
MW794190.1_Array_1	26	0.497534657835
MW794190.1_Array_2	25	0.382739659104
MZ292654.1_Array_1	26	0.497534657835
