Array	IC_Verrucomicrobiota_motif_2_1	IC_Verrucomicrobiota_motif_2_1_pvalue
Random_seq_140	118	0.539181231587
Random_seq_161	172	0.536164732425
Random_seq_233	48	0.619310829725
Random_seq_249	189	0.599212664359
Random_seq_26	129	0.562787504953
Random_seq_323	20	0.57999313126
Random_seq_434	160	0.533767580935
Random_seq_44	176	0.564372447936
Random_seq_452	31	0.556454199293
Random_seq_481	79	0.539181231587
Random_seq_528	147	0.547165245957
Random_seq_532	97	0.575633268226
Random_seq_547	35	0.562231978001
Random_seq_590	14	0.548192781706
Random_seq_604	175	0.556955885894
Random_seq_668	81	0.582147914996
Random_seq_686	189	0.686673791926
Random_seq_846	143	0.560597194114
Random_seq_854	22	0.554877875492
Random_seq_857	126	0.675059951227
Random_seq_859	16	0.574524891413
Random_seq_864	187	0.576195653645
Random_seq_887	24	0.561136923851
Random_seq_925	124	0.598581148892
Random_seq_952	121	0.621147797444
Random_seq_96	136	0.552779307433
