Array	VB_Bacillota_motif_2_1	VB_Bacillota_motif_2_1_pvalue
Random_seq_102	173	1.0
Random_seq_106	28	0.940478297964
Random_seq_121	156	0.940478297964
Random_seq_149	180	0.940478297964
Random_seq_189	125	1.0
Random_seq_190	35	0.940478297964
Random_seq_194	21	0.940478297964
Random_seq_214	44	1.0
Random_seq_222	23	1.0
Random_seq_229	42	0.940478297964
Random_seq_237	100	0.940478297964
Random_seq_247	70	1.0
Random_seq_256	15	1.0
Random_seq_264	51	0.940478297964
Random_seq_267	29	1.0
Random_seq_275	13	1.0
Random_seq_292	195	0.940478297964
Random_seq_30	185	0.940478297964
Random_seq_348	127	0.940478297964
Random_seq_35	74	1.0
Random_seq_397	27	1.0
Random_seq_40	159	1.0
Random_seq_412	100	1.0
Random_seq_438	110	0.940478297964
Random_seq_462	59	0.940478297964
Random_seq_501	183	0.940478297964
Random_seq_58	131	0.940478297964
Random_seq_622	49	0.940478297964
Random_seq_721	67	1.0
Random_seq_74	156	0.940478297964
Random_seq_740	53	0.940478297964
Random_seq_748	151	1.0
Random_seq_767	146	0.940478297964
Random_seq_787	186	1.0
Random_seq_819	129	0.940478297964
Random_seq_826	120	0.940478297964
Random_seq_833	124	0.940478297964
Random_seq_845	143	1.0
Random_seq_85	12	1.0
Random_seq_861	17	0.940478297964
Random_seq_908	59	0.940478297964
Random_seq_924	121	0.940478297964
Random_seq_956	23	1.0
Random_seq_958	39	1.0
Random_seq_97	69	1.0
Random_seq_970	36	1.0
