Array	IIC_Bacillota_motif_1_1	IIC_Bacillota_motif_1_1_pvalue
NC_002928.3_Array_7	174	1.0
NC_003272.1_Array_15	25	0.930394274888
NC_004350.2_Array_1	140	0.854540245725
NC_006814.3_Array_1	122	0.873932468647
NC_007164.1_Array_5	159	0.854540245725
NC_007164.1_Array_8	92	0.854540245725
NC_009767.1_Array_101	66	0.90103319368
NC_009925.1_Array_1	161	0.873932468647
NC_011295.1_Array_2	100	0.930394274888
NC_012121.1_Array_1_R	147	0.873932468647
NC_013422.1_Array_2_L	121	0.90103319368
NC_013510.1_Array_18	44	1.0
NC_013515.1_Array_1	5	0.930394274888
NC_013790.1_Array_25	114	0.930394274888
NC_013928.1_Array_2	139	0.90103319368
NC_013948.1_Array_1_L	188	0.873932468647
NC_014012.1_Array_2	154	0.854540245725
NC_014206.1_Array_1	36	0.90103319368
NC_014221.1_Array_11	52	1.0
NC_014248.1_Array_6	175	0.854540245725
NC_014534.1_Array_7	142	0.930394274888
NC_014915.1_Array_11	36	0.90103319368
NC_014915.1_Array_2	35	0.90103319368
NC_015565.1_Array_4	180	0.930394274888
NC_015709.1_Array_1	40	0.90103319368
NC_015850.1_Array_5	4	0.873932468647
NC_016640.1_Array_11	37	1.0
NC_016640.1_Array_18	189	0.873932468647
NC_016940.1_Array_4	194	0.854540245725
NC_017075.1_Array_5	185	0.90103319368
NC_017079.1_Array_15	88	0.90103319368
NC_017467.1_Array_2_R	139	1.0
NC_017672.3_Array_16	92	0.930394274888
NC_017768.1_Array_2	139	0.854540245725
NC_017909.1_Array_1_L	62	0.854540245725
NC_017911.1_Array_4	161	0.90103319368
NC_018089.1_Array_1	140	0.854540245725
NC_019678.1_Array_14	164	0.90103319368
NC_019678.1_Array_9	54	0.873932468647
NC_019682.1_Array_11	120	0.854540245725
NC_019689.1_Array_5_L	169	0.854540245725
NC_019695.1_Array_9	120	1.0
NC_019697.1_Array_17	154	1.0
NC_019757.1_Array_25_R	50	0.930394274888
NC_019772.1_Array_2	65	0.930394274888
NC_019772.1_Array_4_R	36	0.854540245725
NC_020210.1_Array_2	36	0.90103319368
NC_020230.1_Array_3	28	0.873932468647
NC_021175.1_Array_2	143	0.930394274888
NC_021181.2_Array_1	122	0.873932468647
NC_022567.1_Array_5_L	64	0.90103319368
NC_022600.1_Array_5	5	0.873932468647
NC_022660.2_Array_1	28	0.930394274888
NC_022737.1_Array_3	5	0.90103319368
NC_023029.1_Array_1_R	98	0.854540245725
NZ_AP013294.1_Array_2_R	102	0.930394274888
NZ_AP014569.1_Array_3	4	1.0
NZ_AP017308.1_Array_8	141	0.854540245725
NZ_AP017360.1_Array_2	4	0.854540245725
NZ_AP017367.1_Array_19	159	1.0
NZ_AP018167.1_Array_2	65	0.930394274888
NZ_AP018167.1_Array_4_R	36	0.854540245725
NZ_AP018216.1_Array_5	130	0.930394274888
NZ_AP018216.1_Array_8	25	0.930394274888
NZ_AP018268.1_Array_27	126	0.854540245725
NZ_AP018281.1_Array_17	186	0.930394274888
NZ_AP018281.1_Array_18	36	0.930394274888
NZ_AP018290.1_Array_20_R	83	0.930394274888
NZ_AP018316.1_Array_9	173	0.930394274888
NZ_AP018439.1_Array_2	191	0.90103319368
NZ_AP019309.1_Array_3	194	0.854540245725
NZ_AP019698.1_Array_1_R	147	0.873932468647
NZ_AP019720.1_Array_2	139	0.854540245725
NZ_AP019834.1_Array_2	99	0.854540245725
NZ_AP019845.1_Array_1	86	0.854540245725
NZ_AP022589.1_Array_6	146	1.0
NZ_AP022966.1_Array_1	192	0.930394274888
NZ_AP024154.1_Array_2	173	0.930394274888
NZ_AP024241.1_Array_1	155	0.90103319368
NZ_AP024470.1_Array_8_L	64	0.90103319368
NZ_AP024565.1_Array_10	105	0.930394274888
NZ_AP024911.1_Array_3	132	1.0
NZ_AP025014.1_Array_3_R	85	1.0
NZ_AP025227.1_Array_1	183	0.873932468647
NZ_AP025245.1_Array_8	90	0.930394274888
NZ_AP025621.1_Array_7	182	0.930394274888
NZ_AP028023.1_Array_1_L	186	0.930394274888
NZ_AP028023.1_Array_3_L	186	0.930394274888
NZ_AQHB01000049.1_Array_3	23	0.873932468647
NZ_CM003600.1_Array_1	77	1.0
NZ_CP001621.1_Array_3	28	0.873932468647
NZ_CP001668.1_Array_3	28	0.873932468647
NZ_CP005728.1_Array_1	81	0.873932468647
NZ_CP006664.1_Array_1	154	0.930394274888
NZ_CP006829.1_Array_1	143	0.854540245725
NZ_CP007016.1_Array_1	140	0.854540245725
NZ_CP007520.1_Array_2	119	1.0
NZ_CP007638.1_Array_2	160	0.90103319368
NZ_CP007638.1_Array_6	159	0.90103319368
NZ_CP007793.1_Array_1	151	0.873932468647
NZ_CP008934.1_Array_2	34	0.90103319368
NZ_CP009226.1_Array_1	38	0.930394274888
NZ_CP009351.1_Array_3	184	0.930394274888
NZ_CP010432.1_Array_1	122	0.873932468647
NZ_CP010573.1_Array_2	185	1.0
NZ_CP010912.1_Array_1	156	0.930394274888
NZ_CP011364.1_Array_2	154	0.930394274888
NZ_CP011456.1_Array_1	150	0.873932468647
NZ_CP011456.1_Array_22	64	0.930394274888
NZ_CP011516.2_Array_1	154	0.930394274888
NZ_CP011921.2_Array_1_R	98	0.854540245725
NZ_CP011922.2_Array_1_R	98	0.854540245725
NZ_CP011923.2_Array_1_R	98	0.854540245725
NZ_CP012153.2_Array_1_R	98	0.854540245725
NZ_CP012195.1_Array_1	92	0.873932468647
NZ_CP012387.1_Array_3	28	0.873932468647
NZ_CP012546.1_Array_1	75	1.0
NZ_CP013008.1_Array_16	189	0.873932468647
NZ_CP013008.1_Array_9	37	1.0
NZ_CP013140.1_Array_7	142	0.90103319368
NZ_CP013237.1_Array_1	139	0.90103319368
NZ_CP013655.1_Array_3	106	0.930394274888
NZ_CP014016.2_Array_3	5	1.0
NZ_CP014068.2_Array_1	133	1.0
NZ_CP014213.1_Array_4	160	0.930394274888
NZ_CP014265.1_Array_27_L	21	0.930394274888
NZ_CP014749.1_Array_8	35	0.90103319368
NZ_CP014872.1_Array_1	23	0.854540245725
NZ_CP014907.1_Array_1	23	0.854540245725
NZ_CP015405.2_Array_3	20	1.0
NZ_CP015435.1_Array_2	17	0.854540245725
NZ_CP015435.1_Array_9	72	0.930394274888
NZ_CP015436.1_Array_1	72	0.930394274888
NZ_CP015436.1_Array_8	17	0.854540245725
NZ_CP015531.1_Array_1_L	147	0.873932468647
NZ_CP015536.1_Array_1_L	147	0.873932468647
NZ_CP015537.1_Array_1_L	147	0.873932468647
NZ_CP015642.1_Array_1	5	1.0
NZ_CP015698.1_Array_2	10	0.90103319368
NZ_CP016043.1_Array_1	154	0.930394274888
NZ_CP016044.2_Array_2	154	0.930394274888
NZ_CP016157.1_Array_1	5	1.0
NZ_CP016199.1_Array_4	159	0.873932468647
NZ_CP016463.1_Array_2	54	0.873932468647
NZ_CP016895.1_Array_2	44	0.930394274888
NZ_CP017062.1_Array_1	122	0.873932468647
