Array	IE_Pseudomonadota_motif_1_1	IE_Pseudomonadota_motif_1_1_pvalue
Random_seq_115	31	0.323035439538
Random_seq_172	171	0.376179425933
Random_seq_183	143	0.431952417286
Random_seq_196	138	0.325755404902
Random_seq_197	51	0.404855161275
Random_seq_21	106	0.383496554603
Random_seq_247	35	0.323592665045
Random_seq_291	89	0.327137103226
Random_seq_316	30	0.341689859953
Random_seq_33	133	0.322090190801
Random_seq_349	41	0.321804426903
Random_seq_364	93	0.37452684166
Random_seq_378	125	0.437284695012
Random_seq_386	91	0.326035430507
Random_seq_402	163	0.329495057639
Random_seq_421	141	0.347945594209
Random_seq_431	139	0.334290043388
Random_seq_433	63	0.375842582729
Random_seq_440	47	0.376690872764
Random_seq_465	152	0.414565068365
Random_seq_468	54	0.330759657433
Random_seq_508	178	0.328662337966
Random_seq_54	110	0.355668620072
Random_seq_58	65	0.384128529619
Random_seq_583	177	0.340697251969
Random_seq_599	52	0.325084562465
Random_seq_638	48	0.344167152289
Random_seq_642	132	0.323183164336
Random_seq_656	33	0.338677365131
Random_seq_726	18	0.409858905595
Random_seq_727	129	0.348248095026
Random_seq_733	23	0.329672930476
Random_seq_736	125	0.368603651475
Random_seq_759	125	0.371145400254
Random_seq_779	168	0.32370518693
Random_seq_814	124	0.352269021058
Random_seq_825	145	0.371439604535
Random_seq_840	55	0.323443198576
Random_seq_88	52	0.32194701606
Random_seq_910	79	0.349880774644
Random_seq_921	102	0.378815164312
Random_seq_942	21	0.423246757285
Random_seq_948	125	0.33062194955
