Array	IC_Pseudomonadota_motif_3_1	IC_Pseudomonadota_motif_3_1_pvalue
Random_seq_142	102	0.586875777294
Random_seq_151	31	0.602793217026
Random_seq_225	119	0.472677939369
Random_seq_366	191	0.51232011422
Random_seq_370	151	0.591806096774
Random_seq_428	23	0.578432138643
Random_seq_47	179	0.465038408062
Random_seq_495	134	0.464113192647
Random_seq_51	31	0.482590850028
Random_seq_524	122	0.473702798683
Random_seq_532	131	0.460093510266
Random_seq_63	147	0.465981490805
Random_seq_631	10	0.453927785862
Random_seq_633	79	0.476405266736
Random_seq_638	57	0.500794162611
Random_seq_64	72	0.596202028416
Random_seq_643	157	0.452824381623
Random_seq_687	28	0.477858083981
Random_seq_692	27	0.489454604801
Random_seq_723	94	0.479266086247
Random_seq_724	135	0.50668523496
Random_seq_849	141	0.487619640159
Random_seq_855	116	0.484045874109
Random_seq_884	57	0.463527535712
