Array	ID_Cyanobacteriota_motif_3_1	ID_Cyanobacteriota_motif_3_1_pvalue
Random_seq_193	81	0.329301653632
Random_seq_244	117	0.51667479099
Random_seq_260	95	0.317340161427
Random_seq_281	166	0.377592562599
Random_seq_38	14	0.329442569079
Random_seq_385	122	0.352347355766
Random_seq_389	103	0.327655938181
Random_seq_436	129	0.324469982912
Random_seq_447	149	0.31260492143
Random_seq_521	179	0.325707753913
Random_seq_559	166	0.373066577669
Random_seq_582	29	0.362519370729
Random_seq_628	164	0.335722488131
Random_seq_745	114	0.323453145078
Random_seq_774	58	0.359230452856
Random_seq_822	131	0.314797012902
Random_seq_830	150	0.351787264015
