Array	IIB_Pseudomonadota_motif_1_1	IIB_Pseudomonadota_motif_1_1_pvalue
Random_seq_126	72	0.734738890376
Random_seq_164	59	0.751643465014
Random_seq_239	158	0.8564859548
Random_seq_280	140	0.752207057006
Random_seq_355	117	0.749705389447
Random_seq_558	6	0.797843131307
Random_seq_561	154	0.749705389447
Random_seq_591	12	0.765210721201
Random_seq_618	66	0.687878640544
Random_seq_770	124	0.697803446111
Random_seq_83	104	0.714809450073
Random_seq_844	66	0.691635534732
Random_seq_845	108	0.691635534732
