Array	IIIB_Myxococcota_motif_1_1	IIIB_Myxococcota_motif_1_1_pvalue
Random_seq_103	17	0.863580783386
Random_seq_181	176	0.886895077782
Random_seq_274	124	0.87604118204
Random_seq_334	48	0.938177585719
Random_seq_452	52	0.951005700781
Random_seq_454	16	0.945038935319
Random_seq_466	66	1.04930828862
Random_seq_496	92	0.873866007143
Random_seq_56	135	1.02941355971
Random_seq_63	105	0.99452850586
Random_seq_754	189	0.863580783386
Random_seq_791	191	0.895848263882
Random_seq_824	84	0.98189719413
Random_seq_847	34	0.909145363277
Random_seq_892	97	0.945038935319
Random_seq_924	18	0.866785179363
Random_seq_934	177	0.96947981922
Random_seq_940	18	1.03488627111
