Array	IB_Bacillota_motif_6_1	IB_Bacillota_motif_6_1_pvalue
Random_seq_120	104	0.716907299114
Random_seq_204	153	0.63907328149
Random_seq_327	152	0.607299373505
Random_seq_36	166	0.637790853189
Random_seq_402	166	0.709550776604
Random_seq_421	144	0.628908279616
Random_seq_441	55	0.622089978412
Random_seq_447	48	0.708782862548
Random_seq_483	166	0.657889505188
Random_seq_508	123	0.826374463824
Random_seq_543	150	0.846768504054
Random_seq_548	63	0.663691527944
Random_seq_58	138	0.686428037761
Random_seq_590	118	0.77336123688
Random_seq_609	121	0.76205245007
Random_seq_648	189	0.768078420369
Random_seq_853	192	0.711910943012
Random_seq_86	175	0.604435497397
Random_seq_908	110	0.63397001418
Random_seq_934	131	0.752961489694
Random_seq_974	152	0.616835081403
