Array	IG_Actinomycetota_motif_2_1	IG_Actinomycetota_motif_2_1_pvalue
Random_seq_17	138	0.750915902168
Random_seq_195	36	0.769391793376
Random_seq_222	20	0.824403865841
Random_seq_260	22	0.743334008178
Random_seq_292	177	0.847059919161
Random_seq_31	112	0.757887989681
Random_seq_320	101	0.839758580552
Random_seq_328	46	0.790421928814
Random_seq_347	158	0.795108045747
Random_seq_356	111	0.824403865841
Random_seq_365	79	0.769391793376
Random_seq_371	78	0.797211001438
Random_seq_403	77	0.743334008178
Random_seq_414	142	0.836664030367
Random_seq_440	88	0.856101971685
Random_seq_52	149	0.750915902168
Random_seq_522	150	0.810409617116
Random_seq_534	112	0.769391793376
Random_seq_545	129	0.704773921072
Random_seq_550	158	0.790421928814
Random_seq_556	46	0.723183953228
Random_seq_614	179	1.0
Random_seq_633	128	0.757887989681
Random_seq_638	162	0.731470481878
Random_seq_688	187	0.839758580552
Random_seq_69	173	0.733545338257
Random_seq_741	190	0.771120228347
Random_seq_742	158	0.797211001438
Random_seq_764	125	0.731470481878
Random_seq_766	170	0.729310183418
Random_seq_819	154	0.697781412396
Random_seq_831	42	0.768181472444
Random_seq_881	12	0.761089743361
Random_seq_882	6	0.839758580552
