Array	IB_Euryarchaeota_motif_2_1	IB_Euryarchaeota_motif_2_1_pvalue
Random_seq_262	9	0.415319781197
Random_seq_392	33	0.396164379448
Random_seq_44	11	0.394557235452
Random_seq_447	154	0.411877683015
Random_seq_544	178	0.48026704498
Random_seq_572	97	0.437427832837
Random_seq_627	47	0.396164379448
Random_seq_630	91	0.402299478327
Random_seq_682	12	0.404820480548
Random_seq_685	122	0.390812912702
Random_seq_82	138	0.401153067329
Random_seq_834	125	0.399290367456
Random_seq_846	189	0.48026704498
Random_seq_851	140	0.410740430041
Random_seq_890	176	0.448522037092
Random_seq_943	129	0.414657644124
