Array	IIIB_Bacillota_motif_2_1	IIIB_Bacillota_motif_2_1_pvalue
NC_005838.1_Array_1	147	0.91946661641
NZ_AP012325.1_Array_1	181	0.979661135735
NZ_AP025162.1_Array_2	135	0.941878882787
NZ_CM001475.1_Array_2	52	0.979661135735
NZ_CP007029.1_Array_1	60	1.05302660101
NZ_CP011102.1_Array_4	48	0.888104611813
NZ_CP011270.1_Array_1	136	0.866616595998
NZ_CP015163.1_Array_1	125	0.954246659035
NZ_CP020700.1_Array_5	161	1.0
NZ_CP025572.1_Array_1	189	0.900248386868
NZ_CP027236.1_Array_12	58	0.906798836648
NZ_CP027236.1_Array_13	57	0.906798836648
NZ_CP027236.1_Array_4	57	0.906798836648
NZ_CP029159.1_Array_6	161	1.0
NZ_CP029241.1_Array_2	81	0.91946661641
NZ_CP029241.1_Array_3	81	0.91946661641
NZ_CP029241.1_Array_5	81	0.91946661641
NZ_CP029488.1_Array_2	94	0.911525686605
NZ_CP031971.1_Array_1	132	0.888104611813
NZ_CP035493.1_Array_1	140	0.879415859755
NZ_CP042266.1_Array_6	160	1.0
NZ_CP053288.1_Array_2	147	0.91946661641
NZ_CP066801.1_Array_3	156	0.906798836648
NZ_CP067336.1_Array_1_R	57	0.906798836648
NZ_CP067336.1_Array_8	57	0.906798836648
NZ_CP070379.1_Array_7	161	1.0
NZ_CP077414.1_Array_1	180	1.1055406221
NZ_CP080953.1_Array_3	148	1.0
NZ_CP083911.1_Array_5	86	0.963927167928
NZ_CP084016.1_Array_2	28	1.0
NZ_CP084016.1_Array_4	29	1.0
NZ_CP092981.1_Array_1	181	0.900248386868
NZ_CP095475.1_Array_1	113	0.954246659035
NZ_CP097322.1_Array_2	55	0.863462769869
NZ_CP106877.1_Array_3	144	0.888104611813
NZ_CP113837.1_Array_5	175	0.979661135735
NZ_CP115668.1_Array_1	99	1.1055406221
NZ_CP121682.1_Array_3	159	1.1055406221
NZ_CP121833.1_Array_1	35	0.954246659035
NZ_CP122330.1_Array_1	146	0.888104611813
NZ_LR134477.1_Array_2	174	0.925288015599
NZ_LR698966.1_Array_1	181	0.979661135735
