Array	IIA_Bacillota_motif_4_1	IIA_Bacillota_motif_4_1_pvalue
Random_seq_10	16	0.642641237808
Random_seq_13	159	0.608723834392
Random_seq_186	155	0.637596763151
Random_seq_266	26	0.712802946427
Random_seq_294	134	0.625664442822
Random_seq_326	189	0.661646968578
Random_seq_332	119	0.704117971495
Random_seq_346	129	0.796211423231
Random_seq_347	105	0.72640441789
Random_seq_381	183	0.604436217224
Random_seq_429	192	0.601454422569
Random_seq_436	152	0.761439155221
Random_seq_475	183	0.627207397805
Random_seq_542	43	0.619937985982
Random_seq_564	185	0.659031783374
Random_seq_657	47	0.813721871704
Random_seq_713	117	0.605461714206
Random_seq_740	92	0.61495635882
Random_seq_751	51	0.671965559053
Random_seq_82	147	0.718086741454
