Array	IIIB_Pseudomonadota_motif_2_1	IIIB_Pseudomonadota_motif_2_1_pvalue
HQ641352.1_Array_1	25	0.687711180776
HQ641352.1_Array_2	23	0.587643365449
HQ641354.1_Array_1	25	0.75
MH310933.1_Array_1	25	0.75
MH310934.1_Array_1	25	0.687711180776
MH310934.1_Array_2	23	0.587643365449
MH310935.1_Array_1	25	0.75
MH310935.1_Array_2	24	0.760115238453
MN419153.1_Array_1	25	0.75
MN419153.1_Array_2	24	0.760115238453
MW794140.1_Array_1	25	0.75
MW794150.1_Array_1	25	0.75
MW794150.1_Array_2	25	0.760115238453
MW794151.1_Array_1	25	0.75
MW794151.1_Array_2	21	0.760115238453
MW794152.1_Array_1	25	0.75
MW794152.1_Array_2	24	0.760115238453
MW794153.1_Array_1	25	0.75
MW794153.1_Array_2	25	0.760115238453
MW794154.1_Array_1	25	0.75
MW794154.1_Array_2	24	0.760115238453
MW794155.1_Array_1	25	0.75
MW794155.1_Array_2	24	0.760115238453
MW794156.1_Array_1	25	0.75
MW794156.1_Array_2	24	0.760115238453
MW794157.1_Array_1	25	0.75
MW794157.1_Array_2	24	0.760115238453
MW794158.1_Array_1	25	0.75
MW794158.1_Array_2	24	0.760115238453
MW794159.1_Array_1	25	0.75
MW794159.1_Array_2	24	0.760115238453
MW794160.1_Array_1	25	0.75
MW794160.1_Array_2	24	0.760115238453
MW794161.1_Array_1	25	0.75
MW794161.1_Array_2	24	0.760115238453
MW794162.1_Array_1	25	0.75
MW794162.1_Array_2	24	0.760115238453
MW794163.1_Array_1	25	0.75
MW794163.1_Array_2	24	0.760115238453
MW794164.1_Array_1	25	0.75
MW794164.1_Array_2	24	0.760115238453
MW794165.1_Array_1	25	0.75
MW794166.1_Array_1	25	0.75
MW794166.1_Array_2	24	0.760115238453
MW794167.1_Array_1	25	0.75
MW794167.1_Array_2	24	0.760115238453
MW794168.1_Array_1	25	0.75
MW794169.1_Array_1	25	0.75
MW794169.1_Array_2	24	0.760115238453
MW794170.1_Array_1	25	0.75
MW794170.1_Array_2	24	0.760115238453
MW794171.1_Array_1	25	0.75
MW794171.1_Array_2	24	0.760115238453
MW794172.1_Array_1	25	0.75
MW794172.1_Array_2	24	0.760115238453
MW794173.1_Array_1	25	0.75
MW794173.1_Array_2	24	0.760115238453
MW794176.1_Array_1	25	0.75
MW794177.1_Array_1	25	0.75
MW794177.1_Array_2	24	0.760115238453
MW794179.1_Array_1	25	0.75
MW794179.1_Array_2	24	0.760115238453
MW794180.1_Array_1	25	0.75
MW794180.1_Array_2	24	0.760115238453
MW794182.1_Array_1	25	0.75
MW794182.1_Array_2	24	0.760115238453
MW794183.1_Array_1	25	0.75
MW794183.1_Array_2	24	0.760115238453
MW794188.1_Array_1	25	0.75
MW794188.1_Array_2	24	0.760115238453
MW794190.1_Array_1	25	0.75
MW794190.1_Array_2	24	0.760115238453
MZ292654.1_Array_1	25	0.75
