Array	IE_Deinococcota_motif_1_1	IE_Deinococcota_motif_1_1_pvalue
NC_003106.2_Array_7_L	143	0.770876828543
NC_003228.3_Array_3	99	0.729227533777
NC_005140.1_Array_1	98	0.763825058419
NC_006462.1_Array_6	43	0.887574863551
NC_006462.1_Array_7	43	0.887574863551
NC_009033.1_Array_8	192	0.857693668953
NC_009253.1_Array_1	109	0.941143846598
NC_011653.1_Array_9	181	0.746378587414
NC_011978.1_Array_4	160	0.770876828543
NC_013722.1_Array_5	87	0.750068098301
NC_014221.1_Array_7	111	0.839006379481
NC_014974.1_Array_1	43	0.910283852708
NC_014974.1_Array_2	43	0.910283852708
NC_014974.1_Array_3	43	1.0
NC_015387.1_Array_3	43	0.941143846598
NC_015562.1_Array_7	43	0.827869961923
NC_016640.1_Array_5	6	0.73403006149
NC_016776.1_Array_2	99	0.729227533777
NC_017470.1_Array_2	107	0.726576538733
NC_017588.1_Array_1	43	0.887574863551
NC_017588.1_Array_2	43	0.887574863551
NC_019386.1_Array_3	43	1.0
NC_019386.1_Array_4	43	1.0
NC_021083.1_Array_1	65	0.718372842458
NZ_AP019793.1_Array_1	43	0.887574863551
NZ_AP019793.1_Array_2	43	0.887574863551
NZ_AP019795.1_Array_1	43	0.887574863551
NZ_AP019795.1_Array_2	43	0.887574863551
NZ_AP024086.1_Array_1	191	0.827869961923
NZ_AP024597.1_Array_2	19	0.796559787518
NZ_AP024597.1_Array_6	19	0.796559787518
NZ_AP024685.1_Array_3	169	0.796559787518
NZ_AP024930.1_Array_1	43	0.887574863551
NZ_AP024930.1_Array_2	43	0.887574863551
NZ_AP024934.1_Array_2	43	0.887574863551
NZ_AP024934.1_Array_3	43	0.887574863551
NZ_AP024985.1_Array_1	43	0.887574863551
NZ_AP024985.1_Array_2	43	0.887574863551
NZ_AP025541.1_Array_7	43	0.887574863551
NZ_AP025541.1_Array_8	43	0.887574863551
NZ_AP025567.1_Array_3	93	0.709373546615
NZ_AP025568.1_Array_3	93	0.709373546615
NZ_AP025594.1_Array_1	43	0.774952744054
NZ_AP025594.1_Array_2	43	0.746378587414
NZ_AP025614.1_Array_1	43	0.887574863551
NZ_AP025614.1_Array_2	43	0.887574863551
NZ_AP025618.1_Array_1	43	0.910283852708
NZ_AP025618.1_Array_2	43	1.0
NZ_AP025619.1_Array_1	43	0.887574863551
NZ_AP025619.1_Array_2	43	0.887574863551
