Array	IF_Pseudomonadota_motif_6_1	IF_Pseudomonadota_motif_6_1_pvalue
Random_seq_106	154	0.303502498315
Random_seq_159	63	0.353073098733
Random_seq_206	182	0.487343267243
Random_seq_218	184	0.310205150308
Random_seq_223	160	0.340298044883
Random_seq_25	184	0.325695945532
Random_seq_261	142	0.37824035331
Random_seq_265	81	0.326482520624
Random_seq_312	69	0.305233601497
Random_seq_318	127	0.29886891024
Random_seq_390	180	0.336619035375
Random_seq_41	180	0.320310208235
Random_seq_428	158	0.292579214492
Random_seq_462	82	0.290260450666
Random_seq_469	171	0.301250583781
Random_seq_503	54	0.403889263661
Random_seq_526	115	0.30065021618
Random_seq_541	73	0.301149713379
Random_seq_567	21	0.300452644407
Random_seq_586	80	0.329844506395
Random_seq_676	121	0.325695945532
Random_seq_698	149	0.325807101488
Random_seq_719	125	0.322634136556
Random_seq_824	124	0.329844506395
Random_seq_838	184	0.298083504901
Random_seq_923	77	0.319481677626
Random_seq_960	87	0.336305213953
