Array	IC_Actinomycetota_motif_5_1	IC_Actinomycetota_motif_5_1_pvalue
Random_seq_103	107	0.684655163138
Random_seq_110	70	0.688120502602
Random_seq_252	93	0.671814892936
Random_seq_261	170	0.711995659995
Random_seq_31	18	0.679602340185
Random_seq_37	69	0.875859000547
Random_seq_373	91	0.69846075361
Random_seq_384	127	0.780862270052
Random_seq_391	174	0.699528824414
Random_seq_420	58	0.717841232305
Random_seq_535	68	0.786582572561
Random_seq_597	133	0.705708839661
Random_seq_675	60	0.731209718286
Random_seq_741	38	0.684655163138
Random_seq_794	55	0.807168205413
Random_seq_913	148	0.702411408951
