Array	VK_Cyanobacteriota_motif_3_1	VK_Cyanobacteriota_motif_3_1_pvalue
Random_seq_122	125	0.455468052307
Random_seq_135	59	0.433369229308
Random_seq_176	160	0.452422814167
Random_seq_426	50	0.489220743881
Random_seq_428	112	0.434355726319
Random_seq_457	30	0.499315843326
Random_seq_55	124	0.469568198569
Random_seq_594	99	0.436801190462
Random_seq_715	131	0.456978883878
Random_seq_775	89	0.430530024811
Random_seq_81	70	0.529823632028
Random_seq_830	29	0.479154106245
Random_seq_877	181	0.428827845888
Random_seq_880	111	0.437984221585
Random_seq_881	73	0.440953411605
Random_seq_885	81	0.509637124129
Random_seq_936	66	0.442380716857
