Array	IIC_Bacillota_motif_1_1	IIC_Bacillota_motif_1_1_pvalue
NC_003272.1_Array_8	25	0.930394274888
NC_004350.2_Array_1	140	0.854540245725
NC_006814.3_Array_1	122	0.873932468647
NC_013510.1_Array_12	44	1.0
NC_013515.1_Array_1	5	0.930394274888
NC_013928.1_Array_2	139	0.90103319368
NC_014012.1_Array_1	154	0.854540245725
NC_014915.1_Array_2	35	0.90103319368
NC_014915.1_Array_6	36	0.90103319368
NC_015565.1_Array_4	180	0.930394274888
NC_015850.1_Array_1	4	0.873932468647
NC_016640.1_Array_2	37	1.0
NC_016640.1_Array_4	189	0.873932468647
NC_017768.1_Array_2	139	0.854540245725
NC_018089.1_Array_1	140	0.854540245725
NC_019695.1_Array_1	120	1.0
NC_019772.1_Array_1	65	0.930394274888
NC_020210.1_Array_2	36	0.90103319368
NC_021175.1_Array_2	143	0.930394274888
NC_021181.2_Array_1	122	0.873932468647
NC_022737.1_Array_1	5	0.90103319368
NZ_AP014569.1_Array_2	4	1.0
NZ_AP017308.1_Array_1	141	0.854540245725
NZ_AP018167.1_Array_1	65	0.930394274888
NZ_AP018174.1_Array_6	10	0.873932468647
NZ_AP018216.1_Array_3	130	0.930394274888
NZ_AP018216.1_Array_5	25	0.930394274888
NZ_AP018281.1_Array_2	36	0.930394274888
NZ_AP019309.1_Array_2	194	0.854540245725
NZ_AP019720.1_Array_2	139	0.854540245725
NZ_AP019834.1_Array_2	99	0.854540245725
NZ_AP019845.1_Array_1	86	0.854540245725
NZ_AP024154.1_Array_2	173	0.930394274888
NZ_AP024565.1_Array_1	105	0.930394274888
NZ_AP024911.1_Array_3	132	1.0
NZ_AP025621.1_Array_5	182	0.930394274888
NZ_CP006664.1_Array_1	154	0.930394274888
NZ_CP007016.1_Array_1	140	0.854540245725
NZ_CP007520.1_Array_1	119	1.0
NZ_CP008934.1_Array_2	34	0.90103319368
NZ_CP010432.1_Array_1	122	0.873932468647
NZ_CP011364.1_Array_1	154	0.930394274888
NZ_CP011456.1_Array_4	64	0.930394274888
NZ_CP011516.2_Array_1	154	0.930394274888
NZ_CP013008.1_Array_2	37	1.0
NZ_CP013008.1_Array_4	189	0.873932468647
NZ_CP013237.1_Array_1	139	0.90103319368
NZ_CP013655.1_Array_3	106	0.930394274888
NZ_CP014016.2_Array_2	5	1.0
NZ_CP014749.1_Array_5	35	0.90103319368
NZ_CP014872.1_Array_1	23	0.854540245725
NZ_CP014907.1_Array_1	23	0.854540245725
NZ_CP015405.2_Array_2	20	1.0
NZ_CP015435.1_Array_8	72	0.930394274888
NZ_CP015436.1_Array_1	72	0.930394274888
NZ_CP015642.1_Array_1	5	1.0
NZ_CP015698.1_Array_1	10	0.90103319368
NZ_CP016043.1_Array_1	154	0.930394274888
NZ_CP016044.2_Array_2	154	0.930394274888
NZ_CP016157.1_Array_1	5	1.0
NZ_CP016463.1_Array_2	54	0.873932468647
NZ_CP016895.1_Array_1	44	0.930394274888
NZ_CP017062.1_Array_1	122	0.873932468647
NZ_CP017428.1_Array_1	5	1.0
NZ_CP017430.1_Array_1	5	1.0
NZ_CP018058.1_Array_1	39	0.90103319368
NZ_CP018627.1_Array_1_L	85	0.90103319368
NZ_CP019998.1_Array_5	37	1.0
NZ_CP020620.1_Array_1	122	0.873932468647
NZ_CP020768.1_Array_1	5	0.873932468647
NZ_CP022247.1_Array_1	5	1.0
NZ_CP022449.1_Array_1	122	0.873932468647
NZ_CP022713.1_Array_2	20	1.0
NZ_CP022881.1_Array_2	5	0.90103319368
NZ_CP023477.1_Array_1	139	0.854540245725
NZ_CP023497.1_Array_1	5	1.0
NZ_CP023704.1_Array_2	77	0.930394274888
NZ_CP023704.1_Array_3	78	0.930394274888
NZ_CP023711.1_Array_3	25	0.930394274888
NZ_CP024067.1_Array_1	130	0.930394274888
NZ_CP025200.1_Array_1	121	0.873932468647
NZ_CP026328.2_Array_2	4	0.873932468647
NZ_CP027400.1_Array_1	5	0.930394274888
NZ_CP027848.1_Array_2	51	0.930394274888
NZ_CP029546.1_Array_1	178	1.0
NZ_CP030118.1_Array_9	142	0.854540245725
NZ_CP031775.2_Array_3	185	0.873932468647
NZ_CP032159.1_Array_2	5	0.90103319368
NZ_CP032486.1_Array_1	42	0.930394274888
NZ_CP032627.1_Array_1	93	0.873932468647
NZ_CP033078.1_Array_3	132	1.0
NZ_CP035467.1_Array_4	177	0.873932468647
NZ_CP035758.1_Array_1	100	1.0
NZ_CP035758.1_Array_4	101	1.0
NZ_CP035758.1_Array_7	74	0.90103319368
NZ_CP036318.1_Array_3	110	0.873932468647
NZ_CP041356.1_Array_1	92	0.873932468647
NZ_CP042913.1_Array_1	25	0.930394274888
NZ_CP043926.1_Array_2	4	0.873932468647
NZ_CP044221.1_Array_1	139	0.90103319368
NZ_CP044495.1_Array_1	139	0.90103319368
NZ_CP045687.1_Array_4	19	0.930394274888
NZ_CP046051.1_Array_1	30	0.873932468647
NZ_CP046161.1_Array_3	30	0.873932468647
NZ_CP047141.1_Array_1	51	0.930394274888
NZ_CP050183.1_Array_1	116	1.0
NZ_CP050962.1_Array_1	139	0.854540245725
NZ_CP053228.1_Array_2	20	1.0
NZ_CP053477.1_Array_2	5	0.90103319368
NZ_CP053661.1_Array_3	107	0.90103319368
NZ_CP054559.1_Array_1	122	0.873932468647
NZ_CP056032.1_Array_2	24	0.930394274888
NZ_CP060092.1_Array_1	146	0.930394274888
NZ_CP060212.1_Array_2	37	1.0
NZ_CP061041.1_Array_1	5	0.90103319368
NZ_CP061071.1_Array_1	139	0.854540245725
NZ_CP061470.1_Array_5	36	0.90103319368
NZ_CP061471.1_Array_4	36	0.90103319368
NZ_CP061474.1_Array_4	36	1.0
NZ_CP063195.1_Array_2	92	0.854540245725
NZ_CP063785.1_Array_5	156	0.854540245725
NZ_CP064299.1_Array_1	178	1.0
NZ_CP064311.1_Array_1	178	1.0
NZ_CP064879.1_Array_4	156	0.854540245725
NZ_CP065312.1_Array_1	20	1.0
NZ_CP067992.1_Array_1	130	0.873932468647
NZ_CP070366.1_Array_1	107	0.90103319368
NZ_CP070366.1_Array_2	24	0.930394274888
NZ_CP071875.1_Array_2	153	0.873932468647
NZ_CP072874.1_Array_1	119	0.873932468647
NZ_CP073916.1_Array_1	178	1.0
NZ_CP076538.1_Array_5	66	0.90103319368
NZ_CP077107.1_Array_2	99	0.854540245725
NZ_CP077404.1_Array_2	139	0.854540245725
NZ_CP079714.1_Array_1	5	0.930394274888
NZ_CP080336.1_Array_1	178	1.0
NZ_CP084433.1_Array_2	154	0.930394274888
NZ_CP084434.1_Array_1	5	0.873932468647
NZ_CP086653.1_Array_1	122	0.873932468647
NZ_CP086654.1_Array_1	186	1.0
NZ_CP088218.1_Array_2	5	0.90103319368
NZ_CP090415.1_Array_1	122	0.873932468647
NZ_CP091381.1_Array_1	57	0.854540245725
NZ_CP091467.1_Array_5	37	1.0
NZ_CP092831.1_Array_2	153	0.873932468647
NZ_CP092907.1_Array_1	11	0.930394274888
NZ_CP094301.1_Array_1	154	0.930394274888
NZ_CP094302.1_Array_1	154	0.930394274888
NZ_CP094304.1_Array_1	154	0.930394274888
NZ_CP094306.1_Array_1	154	0.930394274888
NZ_CP094308.1_Array_1	154	0.930394274888
NZ_CP094311.1_Array_1	154	0.930394274888
NZ_CP094313.1_Array_1	154	0.930394274888
NZ_CP094315.1_Array_1	154	0.930394274888
NZ_CP094317.1_Array_2	154	0.930394274888
NZ_CP094319.1_Array_1	154	0.930394274888
NZ_CP094320.1_Array_1	154	0.930394274888
NZ_CP094321.1_Array_1	154	0.930394274888
NZ_CP094322.1_Array_1	154	0.930394274888
NZ_CP094323.1_Array_1	154	0.930394274888
NZ_CP094324.1_Array_1	154	0.930394274888
NZ_CP094697.1_Array_1	5	1.0
NZ_CP094698.1_Array_1	5	1.0
NZ_CP094702.1_Array_1	5	1.0
NZ_CP094707.1_Array_1	5	1.0
NZ_CP095100.1_Array_1	5	1.0
NZ_CP095102.1_Array_1	5	1.0
NZ_CP095163.1_Array_1	154	0.930394274888
NZ_CP096980.1_Array_7	196	0.930394274888
NZ_CP097480.1_Array_1	120	1.0
NZ_CP097766.1_Array_3	25	0.930394274888
NZ_CP097773.1_Array_3	25	0.930394274888
NZ_CP097775.1_Array_3	25	0.930394274888
NZ_CP101126.1_Array_2	154	0.930394274888
NZ_CP101472.1_Array_1	5	1.0
