Array	IB_Thermoproteota_motif_1_1	IB_Thermoproteota_motif_1_1_pvalue
Random_seq_127	142	0.664185191534
Random_seq_139	129	0.627923287745
Random_seq_142	27	0.685863756685
Random_seq_151	173	0.633813752575
Random_seq_161	128	0.605862563005
Random_seq_179	165	0.639103025623
Random_seq_321	49	0.716969415607
Random_seq_34	131	0.615784689921
Random_seq_341	75	0.644385300221
Random_seq_376	49	0.64635974049
Random_seq_395	140	0.689383884457
Random_seq_423	141	0.618312627511
Random_seq_459	126	0.63178894621
Random_seq_481	87	0.635060367126
Random_seq_5	163	0.629826708343
Random_seq_537	140	0.70454974235
Random_seq_54	44	0.658677885274
Random_seq_548	40	0.633813752575
Random_seq_589	78	0.682824609977
Random_seq_598	27	0.63178894621
Random_seq_602	80	0.618960654017
Random_seq_635	32	0.619615361326
Random_seq_639	14	0.610155763362
Random_seq_645	71	0.620945379499
Random_seq_749	91	0.629826708343
Random_seq_763	78	0.609591261453
Random_seq_8	171	0.645036649998
Random_seq_82	161	0.610155763362
Random_seq_839	60	0.667128957761
Random_seq_886	108	0.760583309097
Random_seq_932	96	0.615784689921
