Array	IE_Bacillota_motif_5_1	IE_Bacillota_motif_5_1_pvalue
Random_seq_293	105	0.368344217879
Random_seq_304	27	0.391740055336
Random_seq_317	13	0.375096568626
Random_seq_36	64	0.347136480797
Random_seq_454	49	0.406811123472
Random_seq_464	124	0.345011758554
Random_seq_475	180	0.34556638675
Random_seq_476	139	0.377137075502
Random_seq_53	118	0.388737884363
Random_seq_541	149	0.428150831375
Random_seq_622	115	0.373864141563
Random_seq_634	67	0.362057053157
Random_seq_702	76	0.344016291239
Random_seq_717	37	0.386245957293
