Array	IIID_Actinomycetota_motif_3_1	IIID_Actinomycetota_motif_3_1_pvalue
Random_seq_205	171	0.821523523959
Random_seq_272	156	0.834712457099
Random_seq_349	7	1.0
Random_seq_379	38	0.899977901577
Random_seq_499	18	0.873882611736
Random_seq_511	192	0.928949558799
Random_seq_658	28	0.899977901577
Random_seq_694	6	0.899977901577
Random_seq_716	117	0.873882611736
Random_seq_722	38	1.0
Random_seq_727	111	0.873882611736
Random_seq_729	26	0.834712457099
Random_seq_745	106	0.899977901577
Random_seq_792	134	1.0
Random_seq_809	135	0.899977901577
Random_seq_828	182	0.899977901577
Random_seq_846	28	0.899977901577
Random_seq_850	120	0.873882611736
Random_seq_854	160	0.899977901577
