Array	ID_Thermoproteota_motif_1_1	ID_Thermoproteota_motif_1_1_pvalue
NC_002950.2_Array_4	127	1.0
NC_005838.1_Array_7	103	0.872785976613
NC_006448.1_Array_2	21	0.936775452627
NC_007181.1_Array_1	96	1.0
NC_007181.1_Array_2	96	1.0
NC_007777.1_Array_3	15	1.0
NC_008532.1_Array_2	21	0.936775452627
NC_008698.1_Array_8_R	185	0.936775452627
NC_008750.1_Array_2	36	0.936775452627
NC_010694.1_Array_1	138	0.872785976613
NC_010729.1_Array_3	66	1.0
NC_012438.1_Array_12	60	0.893391065888
NC_012438.1_Array_2	60	0.893391065888
NC_012438.1_Array_7	59	0.893391065888
NC_012589.1_Array_1	51	1.0
NC_013159.1_Array_8	95	0.936775452627
NC_013769.1_Array_4	94	1.0
NC_013949.1_Array_1	29	1.0
NC_014010.1_Array_3	61	0.872785976613
NC_014910.1_Array_1	31	1.0
NC_015387.1_Array_1	42	0.872785976613
NC_015422.1_Array_1	31	1.0
NC_015562.1_Array_9	174	0.893391065888
NC_015571.1_Array_2	127	1.0
NC_015571.1_Array_3	94	1.0
NC_015571.1_Array_4	192	1.0
NC_015634.1_Array_1	100	0.936775452627
NC_015680.1_Array_7	118	0.872785976613
NC_016023.1_Array_4	113	0.936775452627
NC_016025.1_Array_2	154	0.936775452627
NC_017275.1_Array_3	30	0.893391065888
NC_017581.1_Array_2	21	0.936775452627
NC_019689.1_Array_2_L	68	1.0
NC_020246.1_Array_1	96	1.0
NC_020246.1_Array_2	96	1.0
NC_020247.1_Array_1	96	1.0
NC_020247.1_Array_2	96	1.0
NC_021058.1_Array_6_R	30	0.893391065888
NZ_AP018365.1_Array_10	194	0.936775452627
NZ_AP018439.1_Array_1	194	0.936775452627
NZ_AP018929.1_Array_1	92	1.0
NZ_AP018929.1_Array_10	92	1.0
NZ_AP018929.1_Array_6	92	1.0
NZ_AP018929.1_Array_7	92	1.0
NZ_AP018930.1_Array_1	92	1.0
NZ_AP018930.1_Array_10	92	1.0
NZ_AP018930.1_Array_6	92	1.0
NZ_AP018930.1_Array_7	92	1.0
NZ_AP019796.1_Array_3	58	0.893391065888
NZ_AP019797.1_Array_4	58	0.893391065888
NZ_AP022889.1_Array_1	162	0.872785976613
NZ_AP024597.1_Array_3	113	1.0
NZ_AP024597.1_Array_7	93	1.0
NZ_AP024597.1_Array_8	93	1.0
NZ_AP024613.1_Array_1	36	0.893391065888
NZ_AP024887.1_Array_2	46	0.893391065888
NZ_AP025014.1_Array_1	36	0.936775452627
NZ_AP026074.1_Array_1	196	0.936775452627
NZ_CM001475.1_Array_2	125	0.936775452627
NZ_CM002369.1_Array_3	21	0.936775452627
NZ_CM002371.1_Array_2	21	0.936775452627
NZ_CM003135.1_Array_2	21	0.936775452627
NZ_CM003136.1_Array_2	21	0.936775452627
NZ_CP006694.1_Array_1	79	1.0
NZ_CP006819.1_Array_2	21	0.936775452627
NZ_CP006965.1_Array_1_L	184	1.0
NZ_CP007140.1_Array_3	33	1.0
NZ_CP007756.1_Array_2	112	1.0
NZ_CP008887.1_Array_2	33	1.0
NZ_CP009285.1_Array_1	140	1.0
NZ_CP010999.1_Array_2	21	0.936775452627
NZ_CP011217.1_Array_2	21	0.936775452627
NZ_CP011304.1_Array_2	164	0.936775452627
NZ_CP011312.1_Array_3	116	0.872785976613
NZ_CP011995.1_Array_4	127	1.0
NZ_CP012375.1_Array_2	164	0.936775452627
NZ_CP012889.1_Array_3	66	1.0
NZ_CP013694.1_Array_3	96	1.0
NZ_CP013694.1_Array_4	96	1.0
NZ_CP013695.1_Array_1	96	1.0
NZ_CP013695.1_Array_2	96	1.0
NZ_CP013850.1_Array_3	187	0.893391065888
NZ_CP016026.1_Array_1	21	0.936775452627
NZ_CP016076.1_Array_14	153	0.872785976613
NZ_CP016076.1_Array_3	27	0.872785976613
NZ_CP016076.1_Array_4	27	0.872785976613
NZ_CP016077.1_Array_4	28	0.872785976613
NZ_CP016077.1_Array_5	27	0.872785976613
NZ_CP016077.1_Array_9	151	0.872785976613
NZ_CP016352.1_Array_1	36	0.893391065888
NZ_CP016394.1_Array_4	21	0.936775452627
NZ_CP016877.1_Array_3	21	0.936775452627
NZ_CP017006.1_Array_6	106	0.936775452627
NZ_CP017019.1_Array_2	54	0.893391065888
NZ_CP020361.1_Array_1	96	1.0
NZ_CP020361.1_Array_2	96	1.0
NZ_CP020362.1_Array_1	96	1.0
NZ_CP020362.1_Array_2	96	1.0
NZ_CP020363.1_Array_1	96	1.0
NZ_CP020363.1_Array_2	96	1.0
NZ_CP020364.1_Array_1	96	1.0
NZ_CP020364.1_Array_2	96	1.0
NZ_CP021023.1_Array_2	47	0.936775452627
NZ_CP022521.1_Array_15	15	1.0
NZ_CP022547.1_Array_1	21	0.936775452627
NZ_CP023747.1_Array_1	26	0.936775452627
NZ_CP024593.1_Array_3	127	1.0
NZ_CP024594.1_Array_2	127	1.0
NZ_CP024595.1_Array_3	127	1.0
NZ_CP024596.1_Array_2	127	1.0
NZ_CP024600.1_Array_1	127	1.0
NZ_CP024871.1_Array_4	79	1.0
NZ_CP025018.1_Array_6	95	0.872785976613
NZ_CP025096.1_Array_2	25	0.872785976613
NZ_CP025216.1_Array_2	21	0.936775452627
NZ_CP025228.1_Array_12	31	1.0
NZ_CP025249.1_Array_5	83	0.872785976613
NZ_CP025930.1_Array_3	66	1.0
NZ_CP025931.1_Array_3	94	1.0
NZ_CP025932.1_Array_4	127	1.0
NZ_CP026310.1_Array_1	122	1.0
NZ_CP027023.1_Array_1	84	0.872785976613
NZ_CP027843.1_Array_2	79	1.0
NZ_CP028289.1_Array_2	158	0.936775452627
NZ_CP028299.1_Array_2	158	0.936775452627
NZ_CP028370.1_Array_3	79	1.0
NZ_CP028377.1_Array_4	79	1.0
NZ_CP028896.1_Array_2	21	0.936775452627
NZ_CP029188.1_Array_3	192	0.872785976613
NZ_CP029288.2_Array_7	96	1.0
NZ_CP029288.2_Array_8	95	1.0
NZ_CP029288.2_Array_9	96	1.0
NZ_CP030142.1_Array_3	79	1.0
NZ_CP030144.1_Array_3	79	1.0
NZ_CP030147.1_Array_3	79	1.0
NZ_CP030250.1_Array_3	21	0.936775452627
NZ_CP030928.1_Array_2	21	0.936775452627
NZ_CP031775.2_Array_1	36	0.936775452627
NZ_CP031881.1_Array_2	21	0.936775452627
NZ_CP032416.1_Array_2	120	0.936775452627
NZ_CP033388.1_Array_2	19	0.936775452627
NZ_CP035758.1_Array_6	47	0.936775452627
NZ_CP038510.1_Array_2	167	1.0
NZ_CP042326.1_Array_2	41	0.936775452627
NZ_CP043869.1_Array_1	36	0.936775452627
NZ_CP045098.1_Array_3	23	1.0
NZ_CP045687.1_Array_3_R	119	0.872785976613
NZ_CP045806.1_Array_4	64	0.893391065888
NZ_CP045809.1_Array_4	64	0.893391065888
NZ_CP046134.1_Array_2	21	0.936775452627
NZ_CP046615.1_Array_1	96	1.0
NZ_CP046615.1_Array_2	96	1.0
NZ_CP046616.1_Array_2	30	0.893391065888
NZ_CP047191.1_Array_2	21	0.936775452627
NZ_CP047652.1_Array_3	78	0.936775452627
NZ_CP048436.1_Array_1	24	1.0
NZ_CP048795.1_Array_9	73	0.893391065888
NZ_CP049053.1_Array_2	21	0.936775452627
NZ_CP050870.1_Array_2	21	0.936775452627
NZ_CP050976.1_Array_5	130	0.872785976613
NZ_CP051144.1_Array_2	21	0.893391065888
NZ_CP051298.1_Array_2	31	1.0
NZ_CP051774.1_Array_1	124	0.936775452627
NZ_CP053288.1_Array_8	103	0.872785976613
NZ_CP054918.1_Array_3	33	0.936775452627
NZ_CP059408.1_Array_2	173	1.0
NZ_CP059556.1_Array_2	52	0.872785976613
NZ_CP061019.1_Array_2	21	0.936775452627
NZ_CP061020.1_Array_2	21	0.936775452627
NZ_CP061022.1_Array_2	21	0.936775452627
NZ_CP061023.1_Array_2	21	0.936775452627
NZ_CP061024.1_Array_2	21	0.936775452627
NZ_CP061098.1_Array_1	97	0.893391065888
NZ_CP062939.1_Array_2	47	0.893391065888
NZ_CP063232.1_Array_4	26	0.872785976613
NZ_CP063311.1_Array_6	41	0.936775452627
NZ_CP063311.1_Array_7	41	0.936775452627
NZ_CP063785.1_Array_8_R	113	0.893391065888
NZ_CP064879.1_Array_20	113	0.893391065888
NZ_CP065027.1_Array_1	48	0.936775452627
NZ_CP066171.1_Array_1	125	0.893391065888
NZ_CP066370.1_Array_1	36	0.936775452627
NZ_CP066802.1_Array_4	48	0.936775452627
NZ_CP066802.1_Array_5	49	0.936775452627
