Array	IIIB_Euryarchaeota_motif_2_1	IIIB_Euryarchaeota_motif_2_1_pvalue
Random_seq_124	45	0.519632547234
Random_seq_228	179	0.469753690256
Random_seq_287	57	0.420075880914
Random_seq_352	144	0.433876015202
Random_seq_367	27	0.408124940267
Random_seq_404	185	0.416622007708
Random_seq_474	23	0.476301847451
Random_seq_501	100	0.47432804379
Random_seq_535	81	0.478369676494
Random_seq_596	115	0.401469818145
Random_seq_796	166	0.408124940267
Random_seq_829	29	0.441094336577
Random_seq_925	136	0.41804987401
Random_seq_966	112	0.447229633613
