Array	IIID_Pseudomonadota_motif_1_1	IIID_Pseudomonadota_motif_1_1_pvalue
Random_seq_104	38	0.558721265168
Random_seq_241	122	0.563641678645
Random_seq_255	95	0.570931715905
Random_seq_267	140	0.556543363602
Random_seq_314	103	0.751497508401
Random_seq_358	79	0.549116564753
Random_seq_380	175	0.638352165856
Random_seq_39	144	0.573144788914
Random_seq_393	125	0.607493566969
Random_seq_472	60	0.662119300202
Random_seq_480	73	0.585401813846
Random_seq_510	29	0.549116564753
Random_seq_547	158	0.559841835176
Random_seq_551	85	0.622677045217
Random_seq_56	129	0.641758845866
Random_seq_606	166	0.60254417449
Random_seq_637	82	0.572085905221
Random_seq_642	92	0.669006508245
Random_seq_658	43	0.56414744474
Random_seq_703	116	0.627953488509
Random_seq_721	49	0.583666117831
Random_seq_744	130	0.567493746853
Random_seq_756	22	0.560888496948
Random_seq_762	30	0.588415947571
Random_seq_792	33	0.565900981292
Random_seq_795	154	0.573741563024
Random_seq_802	43	0.559841835176
Random_seq_819	61	0.562544354375
Random_seq_852	88	0.556543363602
Random_seq_856	74	0.581842884658
Random_seq_876	53	0.578360630948
Random_seq_890	130	0.629509042049
Random_seq_903	48	0.557622040655
Random_seq_934	69	0.564760273956
Random_seq_963	9	0.553338971014
