Array	IB_Actinomycetota_motif_1_1	IB_Actinomycetota_motif_1_1_pvalue
Random_seq_116	160	0.773349863914
Random_seq_160	162	0.773349863914
Random_seq_256	169	0.781829463806
Random_seq_339	21	0.797936117725
Random_seq_342	59	0.797936117725
Random_seq_349	60	0.844005281613
Random_seq_447	174	0.962538764112
Random_seq_451	133	0.962538764112
Random_seq_480	143	0.918980500377
Random_seq_495	84	0.962538764112
Random_seq_533	69	0.893474040124
Random_seq_557	24	0.776229595738
Random_seq_575	10	0.764296173542
Random_seq_591	49	0.881952767233
Random_seq_593	142	0.770463440065
Random_seq_600	75	0.793635858333
Random_seq_633	113	0.80185610135
Random_seq_680	87	0.77886484941
Random_seq_711	66	0.78440599479
Random_seq_726	89	0.781829463806
Random_seq_729	60	0.904684129814
Random_seq_73	122	0.838493068715
Random_seq_733	106	0.756237590896
Random_seq_782	160	1.0
Random_seq_833	85	0.807119790527
Random_seq_891	59	0.767169971823
Random_seq_940	82	0.77886484941
Random_seq_968	5	1.06302526852
