Array	IIC_Actinomycetota_motif_1_1	IIC_Actinomycetota_motif_1_1_pvalue
Random_seq_172	84	0.783797333013
Random_seq_194	108	0.748265759208
Random_seq_253	124	0.940798621889
Random_seq_261	157	0.742244014435
Random_seq_33	156	0.743916170902
Random_seq_47	152	0.74060801555
Random_seq_496	112	0.769093061759
Random_seq_581	156	0.871090973071
Random_seq_605	33	0.770281494578
Random_seq_63	51	0.851239967944
Random_seq_671	115	0.737567910518
Random_seq_673	11	0.756619888626
Random_seq_771	123	0.804851256968
Random_seq_88	43	0.816043189934
Random_seq_929	136	0.804851256968
