Array	IVA_Pseudomonadota_motif_1_1	IVA_Pseudomonadota_motif_1_1_pvalue
Random_seq_105	12	0.947260517742
Random_seq_167	87	1.06311200481
Random_seq_186	121	0.884251552576
Random_seq_201	127	0.921823157463
Random_seq_202	150	0.861381658164
Random_seq_219	123	1.10651279518
Random_seq_237	65	0.866756115819
Random_seq_252	111	0.893194888462
Random_seq_342	78	0.920483420504
Random_seq_40	30	0.877756086587
Random_seq_420	134	0.858146597855
Random_seq_460	194	0.831747354604
Random_seq_496	31	0.878584255456
Random_seq_502	13	0.849449455651
Random_seq_505	6	0.846612430661
Random_seq_533	186	0.966396521008
Random_seq_549	133	0.967740287403
Random_seq_568	114	0.938711097581
Random_seq_595	138	0.903572986041
Random_seq_650	72	0.836087482135
Random_seq_651	56	1.03252192323
Random_seq_690	132	0.864453668796
Random_seq_75	14	0.891640783529
Random_seq_781	165	0.920483420504
Random_seq_840	29	0.835674738762
Random_seq_928	147	0.905351328938
