Array	IB_Deinococcota_motif_1_1	IB_Deinococcota_motif_1_1_pvalue
Random_seq_175	104	0.83492824766
Random_seq_196	90	0.819166826864
Random_seq_200	10	1.0
Random_seq_207	104	0.848124630447
Random_seq_209	10	0.869193282559
Random_seq_240	64	0.819166826864
Random_seq_250	69	0.848124630447
Random_seq_304	26	0.848124630447
Random_seq_335	83	0.848124630447
Random_seq_390	12	0.896286833164
Random_seq_415	81	0.848124630447
Random_seq_423	107	0.896286833164
Random_seq_439	73	1.0
Random_seq_465	52	0.83492824766
Random_seq_532	29	0.933361294927
Random_seq_550	8	0.83492824766
Random_seq_556	25	0.83492824766
Random_seq_630	46	0.869193282559
Random_seq_638	166	1.0
Random_seq_675	101	0.933361294927
Random_seq_697	101	0.83492824766
Random_seq_720	90	0.896286833164
Random_seq_735	137	1.0
Random_seq_758	142	0.83492824766
Random_seq_798	33	0.896286833164
Random_seq_810	44	0.83492824766
Random_seq_84	182	0.848124630447
Random_seq_841	184	0.848124630447
Random_seq_852	141	0.83492824766
Random_seq_868	6	0.819166826864
Random_seq_880	16	0.83492824766
Random_seq_891	26	0.848124630447
Random_seq_900	175	1.0
Random_seq_904	84	0.848124630447
Random_seq_908	160	0.819166826864
Random_seq_919	19	0.896286833164
Random_seq_93	49	0.83492824766
Random_seq_939	187	0.83492824766
Random_seq_954	57	0.848124630447
Random_seq_961	116	0.896286833164
