Array	IE_Actinomycetota_motif_1_1	IE_Actinomycetota_motif_1_1_pvalue
Random_seq_121	99	0.256594546605
Random_seq_128	134	0.257910282277
Random_seq_139	174	0.243693010026
Random_seq_17	34	0.258332328076
Random_seq_20	146	0.251755907935
Random_seq_251	128	0.277676700653
Random_seq_257	171	0.26588910904
Random_seq_264	139	0.265328531395
Random_seq_272	20	0.25890577022
Random_seq_35	71	0.277189121156
Random_seq_379	32	0.257910282277
Random_seq_390	77	0.281142716516
Random_seq_400	30	0.306753733117
Random_seq_405	111	0.310608260936
Random_seq_413	40	0.27186963228
Random_seq_429	22	0.25777108776
Random_seq_44	28	0.252201732065
Random_seq_46	70	0.257176257876
Random_seq_480	63	0.320227933703
Random_seq_508	120	0.272916807646
Random_seq_51	49	0.328994715455
Random_seq_516	152	0.296557298985
Random_seq_527	179	0.243693010026
Random_seq_528	36	0.272187434917
Random_seq_529	91	0.279936059988
Random_seq_544	117	0.251645619413
Random_seq_553	41	0.246860937803
Random_seq_569	151	0.254306798669
Random_seq_626	133	0.273081666306
Random_seq_638	40	0.245635256358
Random_seq_655	81	0.271091484413
Random_seq_690	116	0.251065077691
Random_seq_71	84	0.254306798669
Random_seq_711	128	0.305594104634
Random_seq_723	91	0.298434737016
Random_seq_724	133	0.251065077691
Random_seq_75	176	0.250921916961
Random_seq_790	128	0.283244675013
Random_seq_8	144	0.374165320507
Random_seq_800	112	0.248275187742
Random_seq_840	155	0.292809545938
Random_seq_864	87	0.248404647142
Random_seq_87	76	0.249940974716
Random_seq_890	35	0.271091484413
Random_seq_922	159	0.282407230082
