Array	IG_Bacillota_motif_1_1	IG_Bacillota_motif_1_1_pvalue
Random_seq_121	154	0.753693905839
Random_seq_129	158	0.607712382307
Random_seq_15	151	0.60056920265
Random_seq_231	165	0.584628685756
Random_seq_236	43	0.696342810894
Random_seq_240	49	0.591985052273
Random_seq_25	43	0.691058416615
Random_seq_262	83	0.630117968233
Random_seq_289	124	0.625564073172
Random_seq_347	103	0.660001986355
Random_seq_359	24	0.576513670481
Random_seq_380	60	0.678975402939
Random_seq_388	74	0.60056920265
Random_seq_408	80	0.614983973717
Random_seq_417	190	0.702824257144
Random_seq_427	102	0.644939728705
Random_seq_435	22	0.689886004476
Random_seq_450	93	0.603853748337
Random_seq_465	89	0.629014135339
Random_seq_488	48	0.628469932272
Random_seq_491	14	0.618530599439
Random_seq_511	91	0.630677794589
Random_seq_545	62	0.601415836931
Random_seq_626	178	0.583237235328
Random_seq_640	147	0.632101256732
Random_seq_658	146	0.673522347386
Random_seq_708	123	0.703994324303
Random_seq_713	59	0.574757398767
Random_seq_777	99	0.627396481829
Random_seq_820	84	0.61063319227
Random_seq_849	170	0.575628944239
Random_seq_96	49	0.625050899638
