Array	IIC_Campylobacterota_motif_1_1	IIC_Campylobacterota_motif_1_1_pvalue
Random_seq_114	124	0.766864865974
Random_seq_135	41	0.754117065978
Random_seq_138	83	0.815681780032
Random_seq_167	121	0.904597673945
Random_seq_195	136	0.871326630897
Random_seq_286	65	0.795679807164
Random_seq_298	183	0.841238580695
Random_seq_393	104	0.946260300229
Random_seq_539	5	0.791257744633
Random_seq_54	87	0.771489354468
Random_seq_57	68	0.875861068252
Random_seq_598	189	0.875861068252
Random_seq_653	176	0.780833919458
Random_seq_657	72	0.748514788178
Random_seq_662	93	0.766864865974
