Array	IB_Cyanobacteriota_motif_2_1	IB_Cyanobacteriota_motif_2_1_pvalue
Random_seq_117	71	0.613782785199
Random_seq_244	184	0.87760918327
Random_seq_258	71	0.629209700653
Random_seq_353	5	0.651966662133
Random_seq_367	14	0.618144705532
Random_seq_394	180	0.726197137313
Random_seq_405	73	0.678893601987
Random_seq_531	109	0.638195895626
Random_seq_537	45	0.610476927412
Random_seq_558	81	0.753490394608
Random_seq_6	139	0.692933830309
Random_seq_618	190	0.628479511589
Random_seq_636	15	0.647785227563
Random_seq_71	163	0.626336954757
Random_seq_710	157	0.664765751886
Random_seq_729	75	0.633997623177
Random_seq_793	100	0.654239962654
Random_seq_876	24	0.721251676558
Random_seq_943	55	0.620854444438
Random_seq_975	47	0.618144705532
