Array	IE_Euryarchaeota_motif_1_1	IE_Euryarchaeota_motif_1_1_pvalue
NC_004369.1_Array_1_R	115	1.11797057874
NC_006361.1_Array_1	74	1.03436662528
NC_009051.1_Array_1	43	1.12999544548
NC_009943.1_Array_2	50	0.993961943512
NC_011059.1_Array_4	139	1.061723448
NC_013740.1_Array_1	40	1.01744521882
NC_013892.1_Array_2	12	1.0251892358
NC_014205.1_Array_3	157	1.07022960943
NC_014213.1_Array_4	13	1.061723448
NC_014831.1_Array_2	139	1.10931367065
NC_014960.1_Array_4	16	0.986372314473
NC_015964.1_Array_1	46	0.993961943512
NC_017030.1_Array_2	46	1.03436662528
NC_019740.1_Array_3	107	1.00443177012
NC_020229.1_Array_1_R	158	1.01117645711
NC_021917.1_Array_1	105	1.075948151
NZ_AP018248.1_Array_3	42	0.977807279699
NZ_AP018405.1_Array_1_L	158	1.01117645711
NZ_AP018562.1_Array_2	90	1.0251892358
NZ_AP019007.1_Array_2	151	1.22348739385
NZ_AP024565.1_Array_2	108	1.075948151
NZ_AP024803.1_Array_1	145	0.983356964104
NZ_CM001978.1_Array_2	114	0.993961943512
NZ_CP006867.1_Array_7	56	1.0251892358
NZ_CP007044.2_Array_1	71	0.993961943512
NZ_CP007515.1_Array_1	32	1.10931367065
NZ_CP008746.1_Array_2	126	1.0
NZ_CP009211.1_Array_1	93	0.975672714842
NZ_CP009503.1_Array_3	126	1.0
NZ_CP009524.1_Array_5	126	1.0
NZ_CP009528.1_Array_3	126	1.0
NZ_CP009530.1_Array_1	126	1.0
NZ_CP011114.1_Array_7	118	1.0
NZ_CP011542.1_Array_1	105	1.07022960943
NZ_CP011799.1_Array_2	89	1.01744521882
NZ_CP012343.1_Array_1_R	158	1.01117645711
NZ_CP014360.1_Array_1	50	0.993961943512
NZ_CP014476.1_Array_1	50	0.993961943512
NZ_CP014854.1_Array_1	17	0.997328817795
NZ_CP014912.1_Array_1	41	1.0
NZ_CP014915.1_Array_1	41	1.0
NZ_CP015308.1_Array_1_L	158	1.01117645711
NZ_CP015857.1_Array_1_L	158	1.01117645711
NZ_CP015966.1_Array_1_L	158	1.01117645711
NZ_CP016270.1_Array_1_R	158	1.01117645711
NZ_CP017037.1_Array_1	175	1.07022960943
NZ_CP019722.1_Array_1_R	158	1.01117645711
NZ_CP020038.1_Array_2	80	1.07022960943
NZ_CP020038.1_Array_4	160	1.00443177012
NZ_CP020093.1_Array_1_R	158	1.01117645711
NZ_CP021645.1_Array_1	147	1.12999544548
NZ_CP021731.1_Array_2	8	1.01744521882
NZ_CP022424.1_Array_1	11	0.997328817795
NZ_CP022521.1_Array_21	22	1.04621834928
NZ_CP023669.1_Array_1	50	0.993961943512
NZ_CP024704.1_Array_6	53	1.04621834928
NZ_CP025023.1_Array_3	90	1.0251892358
NZ_CP025197.1_Array_3	28	1.0251892358
NZ_CP025227.1_Array_2	93	1.07022960943
NZ_CP025612.1_Array_1	152	1.05203640197
NZ_CP027033.1_Array_1	74	1.03436662528
NZ_CP028229.1_Array_1_L	157	1.01117645711
NZ_CP028241.1_Array_1_L	157	1.01117645711
NZ_CP028334.1_Array_1_L	158	1.01117645711
NZ_CP028475.1_Array_2	67	0.997328817795
NZ_CP029349.1_Array_1_L	158	1.01117645711
NZ_CP031127.2_Array_1_R	158	1.01117645711
NZ_CP031230.1_Array_2	178	1.0
NZ_CP031318.1_Array_1_L	158	1.01117645711
NZ_CP031477.1_Array_1	45	0.993961943512
NZ_CP031886.1_Array_1	100	1.0251892358
NZ_CP032464.1_Array_1_L	158	1.01117645711
NZ_CP032466.1_Array_1_L	158	1.01117645711
NZ_CP032648.1_Array_1_L	158	1.01117645711
NZ_CP033381.1_Array_2	134	1.0891704765
NZ_CP033753.1_Array_1	145	0.983356964104
NZ_CP034694.1_Array_1_L	158	1.01117645711
NZ_CP035150.1_Array_1	158	1.01117645711
NZ_CP035156.1_Array_1_R	158	1.01117645711
NZ_CP035730.1_Array_7	193	1.01744521882
NZ_CP036265.1_Array_5	104	1.03059167031
NZ_CP040410.1_Array_1	128	1.0
NZ_CP040411.1_Array_1	128	1.0
NZ_CP040412.1_Array_1	129	1.0
NZ_CP040414.1_Array_1	128	1.0
NZ_CP040415.1_Array_1	129	1.0
NZ_CP040419.1_Array_1	126	1.0
NZ_CP040420.1_Array_1	129	1.0
NZ_CP040421.1_Array_1	128	1.0
NZ_CP040422.1_Array_1	129	1.0
NZ_CP040423.1_Array_1	129	1.0
NZ_CP041626.1_Array_1	128	1.0
NZ_CP043617.1_Array_1	82	1.0
NZ_CP045185.1_Array_3	106	0.977807279699
NZ_CP046119.1_Array_1_R	158	1.01117645711
NZ_CP048020.1_Array_1	117	1.16851379812
NZ_CP048813.1_Array_3	116	1.19384405385
NZ_CP048814.1_Array_2	116	1.19384405385
NZ_CP053912.1_Array_1_L	158	1.01117645711
NZ_CP055123.1_Array_1_L	158	1.01117645711
NZ_CP058247.1_Array_1	35	1.03436662528
NZ_CP058247.1_Array_2	35	1.03436662528
NZ_CP058306.1_Array_1	78	0.977807279699
NZ_CP058967.1_Array_1_R	158	1.01117645711
NZ_CP060172.1_Array_2_R	158	1.01117645711
NZ_CP062916.1_Array_1	68	1.00730724761
NZ_CP063111.1_Array_2	46	0.993961943512
NZ_CP063456.1_Array_1	135	1.09615624669
NZ_CP063989.1_Array_1	51	1.03436662528
NZ_CP065160.1_Array_1_R	158	1.01117645711
